Symbol,WeightPct,FFMC,LastPrice,PChange
ADANIENSOL,1.4021920550494498,480167178696.58,1388.0,-1.37
ADANIPORTS,3.72729386137875,1276375922361.22,1735.0,-0.76
ADANIPOWER,2.773868192953328,949884475161.72,230.3,0.52
BANKBARODA,1.4584048645885943,499416714497.2,269.95,-0.13
BEL,4.598624402046807,1574754682901.26,440.9,0.62
BPCL,1.8189348139815975,622876726991.39,308.2,-1.86
CANBK,1.3345401696360109,457000441418.69,135.93,-1.53
CUMMINSIND,2.130039120600495,729411403644.0,5415.0,1.7
EICHERMOT,2.9422793480497837,1007555254932.93,7342.0,0.43
HINDALCO,4.455298645846984,1525674156634.41,1057.0,1.07
HINDZINC,0.8038329728093742,275264867824.08,636.75,0.34
HYUNDAI,0.764586635093287,261825337064.05,1841.4,0.08
IOC,1.5986210105262324,547432384647.47,146.93,-0.86
JSWSTEEL,3.4958416289566334,1197117332180.98,1280.4,0.56
M&M,8.758975679988836,2999426951098.99,3366.0,1.98
MARUTI,5.261593757563944,1801782160239.04,13770.0,0.35
MOTHERSON,1.6883200139587686,578148945374.65,131.0,2.82
MUTHOOTFIN,1.1178114310256626,382783770038.87,3579.4,1.3
PNB,1.0952514066541754,375058306743.9,109.08,-1.0
SBILIFE,2.4524489932128146,839817562599.68,1875.0,0.86
SBIN,13.20680790857462,4522544304977.05,1092.9,-0.28
SHRIRAMFIN,4.131036219286152,1414633608402.57,1013.0,0.89
SIEMENS,0.9948351445203822,340671723885.72,3865.3,0.61
SOLARINDS,1.1300264166388492,386966674341.16,15930.0,1.21
TATASTEEL,5.225357044381653,1789373246444.87,217.1,0.76
TITAN,5.177829672518257,1773097955213.31,4309.0,-1.16
TORNTPHARM,1.325548511526822,453921334608.36,4352.0,-0.14
TVSMOTOR,12.676051805180593,4340791983798.97,3707.1,2.47
UNIONBANK,0.9416188811766255,322448326499.8,167.34,-0.84
VEDL,1.5121293922745178,517814162117.06,305.6,-3.41
