Symbol,WeightPct,FFMC,LastPrice,PChange
ABB,0.31725345059607335,375958628539.39,7188.0,0.08
ADANIENSOL,0.4051900468312058,480167178696.58,1388.0,-1.37
ADANIENT,0.6076878312028622,720135535704.5,2520.0,-0.8
ADANIGREEN,0.3859947191468883,457419911308.31,1368.2,1.12
ADANIPORTS,1.0770724087382313,1276375922361.22,1735.0,-0.76
ADANIPOWER,0.8015619393640868,949884475161.72,230.3,0.52
AMBUJACEM,0.231887156464235,274795994043.23,451.85,1.11
APOLLOHOSP,0.6793033487786595,805002923968.83,7845.0,1.09
ASIANPAINT,0.9648841332015119,1143428116341.34,2536.0,0.67
AXISBANK,3.130340181848332,3709584243822.28,1296.0,0.14
BAJAJ-AUTO,0.9873817663115024,1170088753990.9,10590.0,2.63
BAJAJFINSV,0.8883189540132723,1052695171727.5,1829.0,-0.39
BAJAJHFL,0.08180368969339805,96940799000.95,87.8,0.95
BAJAJHLDNG,0.3862034831777682,457667305429.92,10601.0,-0.1
BAJFINANCE,2.192918461453617,2598700237043.27,973.6,-0.73
BANKBARODA,0.42143380662691826,499416714497.2,269.95,-0.13
BHARTIARTL,4.725705659743493,5600159164163.2,1829.6,-0.22
BOSCHLTD,0.2751135608930148,326021094023.07,37695.0,2.87
BPCL,0.5256157883693917,622876726991.39,308.2,-1.86
BRITANNIA,0.5834951691518554,691466217755.95,5885.5,1.77
CANBK,0.38564074863045117,457000441418.69,135.93,-1.53
CGPOWER,0.49671513218602265,588628238780.55,860.35,3.79
CHOLAFIN,0.6090968894263891,721805328724.1,1689.2,-1.33
DIVISLAB,0.714920125436742,847210296277.02,6685.5,-0.25
DLF,0.33414145102932397,395971616482.4,619.0,1.54
DMART,0.5448180940179427,645632263559.58,4387.9,-1.0
EICHERMOT,0.8502275437473777,1007555254932.93,7342.0,0.43
ETERNAL,1.5614447014684347,1850377379351.46,257.6,0.61
GAIL,0.3802423925545063,450603163334.35,167.52,1.11
GODREJCP,0.3508541398798249,415776852856.14,1036.5,-5.26
GRASIM,0.9467210770482568,1121904133958.7,2955.2,1.39
HAVELLS,0.27003404882025106,320001659438.71,1272.3,1.19
HCLTECH,1.04995095729981,1244235866303.11,1182.4,-0.56
HDFCBANK,10.247858817128094,12144141975805.07,795.55,-0.13
HDFCLIFE,0.5683270468207949,673491357408.84,628.0,3.57
HINDALCO,1.2874432289477515,1525674156634.41,1057.0,1.07
HINDUNILVR,1.6973515799796293,2011432723456.11,2273.0,-1.9
HINDZINC,0.23228281655440658,275264867824.08,636.75,0.34
HYUNDAI,0.22094184128652583,261825337064.05,1841.4,0.08
ICICIBANK,7.7047501778818095,9130451708791.97,1279.0,-0.04
ICICIGI,0.37743270663188255,447273567819.75,1848.0,2.11
INDHOTEL,0.49293285830478856,584146085793.79,667.1,0.14
INFY,3.440004281924726,4076549174081.88,1165.9,-0.11
IOC,0.46195192718991,547432384647.47,146.93,-0.86
IRFC,0.1807748122380387,214225725065.51,106.8,0.06
JIOFIN,0.7199469322972054,853167272977.01,251.0,-0.57
JSWENERGY,0.26171845563540697,310147333178.77,577.0,1.6
JSWSTEEL,1.010189886792265,1197117332180.98,1280.4,0.56
KOTAKBANK,2.356910769630761,2793037991786.2,380.45,1.02
LICI,0.15134794445393693,179353654065.07,810.25,0.37
LTM,0.3318371055843193,393240870602.23,4250.0,-1.53
M&M,2.5310725112066828,2999426951098.99,3366.0,1.98
MARUTI,1.5204375273392416,1801782160239.04,13770.0,0.35
MAXHEALTH,0.6347170272056233,752166265206.82,1013.6,-0.23
MOTHERSON,0.4878721592085261,578148945374.65,131.0,2.82
NAUKRI,0.3164185701786295,374969260272.01,984.05,0.27
NESTLEIND,0.8902198942195908,1054947865501.39,1475.5,-0.71
NTPC,1.5953458664959805,1890551680011.38,399.9,1.28
ONGC,0.927035725388666,1098576167632.88,283.6,1.0
PFC,0.5600169033901725,663643489335.94,457.05,-1.48
PIDILITIND,0.381324374833917,451885357659.13,1461.1,2.79
POWERGRID,1.1966988522102258,1418138268965.41,314.0,-0.62
RECLTD,0.3782196561827603,448206136002.45,359.85,0.21
RELIANCE,8.158991546304295,9668746758308.72,1435.5,-0.17
SBILIFE,0.7086817521412926,839817562599.68,1875.0,0.86
SBIN,3.816358176966971,4522544304977.05,1092.9,-0.28
SHREECEM,0.28868291702266574,342101349450.02,25650.0,2.7
SHRIRAMFIN,1.1937414372918647,1414633608402.57,1013.0,0.89
SIEMENS,0.28747652459300765,340671723885.72,3865.3,0.61
TATACONSUM,0.633617328089115,750863075687.93,1156.4,0.36
TATAPOWER,0.619487048780858,734118102797.55,439.75,-0.79
TATASTEEL,1.5099662402866099,1789373246444.87,217.1,0.76
TCS,2.064921163631202,2447018077383.07,2403.0,-1.33
TECHM,0.7746674401386688,918013366982.93,1450.0,-1.14
TITAN,1.496232302797987,1773097955213.31,4309.0,-1.16
TORNTPHARM,0.38304243810855626,453921334608.36,4352.0,-0.14
TRENT,0.8021053603401173,950528451781.94,4296.0,0.14
TVSMOTOR,3.662986112408676,4340791983798.97,3707.1,2.47
ULTRACEMCO,1.207866815176221,1431372772900.31,12121.0,0.23
VBL,0.5891067683275528,698116197846.14,511.5,0.5
WIPRO,0.474713513300412,562555398764.66,197.39,-0.87
