Symbol,WeightPct,FFMC,LastPrice,PChange
ABB,0.3146487028564508,375958628539.39,7188.0,0.08
ADANIENSOL,0.4018633127748287,480167178696.58,1388.0,-1.37
ADANIENT,0.6026985284805504,720135535704.5,2520.0,-0.8
ADANIGREEN,0.3828255845943246,457419911308.31,1368.2,1.12
ADANIPORTS,1.0682293152531976,1276375922361.22,1735.0,-0.76
ADANIPOWER,0.7949808709917704,949884475161.72,230.3,0.52
AMBUJACEM,0.22998329207595844,274795994043.23,451.85,1.11
APOLLOHOSP,0.6737260607809255,805002923968.83,7845.0,1.09
ASIANPAINT,0.9569621397283685,1143428116341.34,2536.0,0.67
AXISBANK,3.1046391327420126,3709584243822.28,1296.0,0.14
BAJAJ-AUTO,0.9792750603982581,1170088753990.9,10590.0,2.63
BAJAJFINSV,0.8810255840493444,1052695171727.5,1829.0,-0.39
BAJAJHFL,0.08113205641274715,96940799000.95,87.8,0.95
BAJAJHLDNG,0.3830326346087406,457667305429.92,10601.0,-0.1
BAJFINANCE,2.174913931022456,2598700237043.27,973.6,-0.73
BANKBARODA,0.4179737063406976,499416714497.2,269.95,-0.13
BHARTIARTL,4.68690617273331,5600159164163.2,1829.6,-0.22
BOSCHLTD,0.2728547945201694,326021094023.07,37695.0,2.87
BPCL,0.5213003221889838,622876726991.39,308.2,-1.86
BRITANNIA,0.5787044955750248,691466217755.95,5885.5,1.77
CANBK,0.38247452028395346,457000441418.69,135.93,-1.53
CGPOWER,0.4926369492210558,588628238780.55,860.35,3.79
CHOLAFIN,0.6040960179056425,721805328724.1,1689.2,-1.33
DIVISLAB,0.709050412822921,847210296277.02,6685.5,-0.25
DLF,0.33139804764742997,395971616482.4,619.0,1.54
DMART,0.5403449710425035,645632263559.58,4387.9,-1.0
EICHERMOT,0.8432469158973739,1007555254932.93,7342.0,0.43
ETERNAL,1.5486247635006876,1850377379351.46,257.6,0.61
GAIL,0.3771204863604078,450603163334.35,167.52,1.11
GODREJCP,0.3479735202173055,415776852856.14,1036.5,-5.26
GRASIM,0.938948207814333,1121904133958.7,2955.2,1.39
HAVELLS,0.26781698679314264,320001659438.71,1272.3,1.19
HCLTECH,1.0413305392157741,1244235866303.11,1182.4,-0.56
HDFCBANK,10.163720765864246,12144141975805.07,795.55,-0.13
HDFCLIFE,0.563660908161652,673491357408.84,628.0,3.57
HINDALCO,1.2768729267676073,1525674156634.41,1057.0,1.07
HINDUNILVR,1.6834158050243377,2011432723456.11,2273.0,-1.9
HINDZINC,0.23037570367592897,275264867824.08,636.75,0.34
HYUNDAI,0.21912784127928292,261825337064.05,1841.4,0.08
ICICIBANK,7.64149182538009,9130451708791.97,1279.0,-0.04
ICICIGI,0.3743338688174731,447273567819.75,1848.0,2.11
INDHOTEL,0.4888857289637438,584146085793.79,667.1,0.14
INFY,3.411760795964841,4076549174081.88,1165.9,-0.11
IOC,0.45815916075694796,547432384647.47,146.93,-0.86
IRFC,0.17929059580895648,214225725065.51,106.8,0.06
JINDALSTEL,0.3876595795507737,463195819798.3,1254.2,-0.8
JIOFIN,0.7140359480635402,853167272977.01,251.0,-0.57
JSWENERGY,0.25956966716847946,310147333178.77,577.0,1.6
JSWSTEEL,1.0018959192427621,1197117332180.98,1280.4,0.56
KOTAKBANK,2.3375598122553467,2793037991786.2,380.45,1.02
LICI,0.1501053315982778,179353654065.07,810.25,0.37
LTM,0.32911262158242854,393240870602.23,4250.0,-1.53
M&M,2.5102916327323923,2999426951098.99,3366.0,1.98
MARUTI,1.5079542707974034,1801782160239.04,13770.0,0.35
MAXHEALTH,0.6295058065276212,752166265206.82,1013.6,-0.23
MOTHERSON,0.4838665797529346,578148945374.65,131.0,2.82
NAUKRI,0.313820677062262,374969260272.01,984.05,0.27
NESTLEIND,0.8829109169558959,1054947865501.39,1475.5,-0.71
NTPC,1.5822475896076948,1890551680011.38,399.9,1.28
ONGC,0.9194244789050782,1098576167632.88,283.6,1.0
PFC,0.5554189935470636,663643489335.94,457.05,-1.48
PIDILITIND,0.37819358523479546,451885357659.13,1461.1,2.79
POWERGRID,1.186873589082443,1418138268965.41,314.0,-0.62
RECLTD,0.3751143572721516,448206136002.45,359.85,0.21
RELIANCE,8.092003733412408,9668746758308.72,1435.5,-0.17
SBILIFE,0.7028632584778399,839817562599.68,1875.0,0.86
SBIN,3.7850247105653683,4522544304977.05,1092.9,-0.28
SHREECEM,0.28631274209101526,342101349450.02,25650.0,2.7
SHRIRAMFIN,1.183940455443952,1414633608402.57,1013.0,0.89
SIEMENS,0.2851162545117169,340671723885.72,3865.3,0.61
TATACONSUM,0.6284151362767804,750863075687.93,1156.4,0.36
TATAPOWER,0.6144008708779681,734118102797.55,439.75,-0.79
TATASTEEL,1.4975689562100991,1789373246444.87,217.1,0.76
TCS,2.0479675301140206,2447018077383.07,2403.0,-1.33
TECHM,0.7683071838203556,918013366982.93,1450.0,-1.14
TITAN,1.4839477785435122,1773097955213.31,4309.0,-1.16
TORNTPHARM,0.37989754268513953,453921334608.36,4352.0,-0.14
TRENT,0.795519830315591,950528451781.94,4296.0,0.14
TVSMOTOR,3.6329118775070897,4340791983798.97,3707.1,2.47
ULTRACEMCO,1.1979498596610516,1431372772900.31,12121.0,0.23
VBL,0.5842700218073354,698116197846.14,511.5,0.5
VEDL,0.433370967076401,517814162117.06,305.6,-3.41
WIPRO,0.4708159703472486,562555398764.66,197.39,-0.87
