Symbol,WeightPct,FFMC,LastPrice,PChange
ABB,0.37447411753565496,375958628539.39,7188.0,0.08
ADANIENSOL,0.4782711896001819,480167178696.58,1388.0,-1.37
ADANIENT,0.7172920070665558,720135535704.5,2520.0,-0.8
ADANIGREEN,0.4556137421180914,457419911308.31,1368.2,1.12
ADANIPORTS,1.2713360218035203,1276375922361.22,1735.0,-0.76
ADANIPOWER,0.9461337593951128,949884475161.72,230.3,0.52
AMBUJACEM,0.27371093402339663,274795994043.23,451.85,1.11
APOLLOHOSP,0.8018242877893297,805002923968.83,7845.0,1.09
ASIANPAINT,1.138913173760335,1143428116341.34,2536.0,0.67
AXISBANK,3.6949365719477685,3709584243822.28,1296.0,0.14
BAJAJHFL,0.0965580183652538,96940799000.95,87.8,0.95
BAJFINANCE,2.588439004012691,2598700237043.27,973.6,-0.73
BHARTIARTL,5.578046364320924,5600159164163.2,1829.6,-0.22
BOSCHLTD,0.3247337664694845,326021094023.07,37695.0,2.87
BPCL,0.620417234682937,622876726991.39,308.2,-1.86
BRITANNIA,0.6887358928450477,691466217755.95,5885.5,1.77
CGPOWER,0.5863039801221606,588628238780.55,860.35,3.79
CHOLAFIN,0.7189552067380495,721805328724.1,1689.2,-1.33
DLF,0.3944080821538528,395971616482.4,619.0,1.54
DMART,0.6430829186932467,645632263559.58,4387.9,-1.0
ETERNAL,1.8430709754756363,1850377379351.46,257.6,0.61
GAIL,0.44882391076901734,450603163334.35,167.52,1.11
GODREJCP,0.41413511553104865,415776852856.14,1036.5,-5.26
GRASIM,1.1174741810182183,1121904133958.7,2955.2,1.39
HAVELLS,0.318738100236742,320001659438.71,1272.3,1.19
HCLTECH,1.2393228740359963,1244235866303.11,1182.4,-0.56
HDFCBANK,12.096189592150402,12144141975805.07,795.55,-0.13
HDFCLIFE,0.6708320080679879,673491357408.84,628.0,3.57
HINDALCO,1.5196498765628577,1525674156634.41,1057.0,1.07
HINDUNILVR,2.00349037612166,2011432723456.11,2273.0,-1.9
HINDZINC,0.27417795640828385,275264867824.08,636.75,0.34
HYUNDAI,0.2607914930066912,261825337064.05,1841.4,0.08
ICICIBANK,9.094399188642528,9130451708791.97,1279.0,-0.04
ICICIGI,0.4455074625020244,447273567819.75,1848.0,2.11
INFY,4.060452503738916,4076549174081.88,1165.9,-0.11
IOC,0.5452707920223258,547432384647.47,146.93,-0.86
JIOFIN,0.8497984549512567,853167272977.01,251.0,-0.57
JSWENERGY,0.3089226847894733,310147333178.77,577.0,1.6
LTM,0.39168811890240784,393240870602.23,4250.0,-1.53
M&M,2.9875834077519348,2999426951098.99,3366.0,1.98
MARUTI,1.7946676395440373,1801782160239.04,13770.0,0.35
MAXHEALTH,0.7491962599653501,752166265206.82,1013.6,-0.23
NAUKRI,0.37348865588982366,374969260272.01,984.05,0.27
NESTLEIND,1.05078229621844,1054947865501.39,1475.5,-0.71
NTPC,1.8830866438104283,1890551680011.38,399.9,1.28
PFC,0.6610230253069488,663643489335.94,457.05,-1.48
PIDILITIND,0.45010104221868397,451885357659.13,1461.1,2.79
POWERGRID,1.4125386053181734,1418138268965.41,314.0,-0.62
RECLTD,0.44643634834410534,448206136002.45,359.85,0.21
RELIANCE,9.630568725234177,9668746758308.72,1435.5,-0.17
SBILIFE,0.8365014572674186,839817562599.68,1875.0,0.86
SHREECEM,0.34075052736721745,342101349450.02,25650.0,2.7
SHRIRAMFIN,1.4090477832651453,1414633608402.57,1013.0,0.89
SIEMENS,0.3393265468253223,340671723885.72,3865.3,0.61
TATAPOWER,0.7312193625668018,734118102797.55,439.75,-0.79
TATASTEEL,1.7823077236120612,1789373246444.87,217.1,0.76
TCS,2.437355776835995,2447018077383.07,2403.0,-1.33
TECHM,0.9143884975387666,918013366982.93,1450.0,-1.14
TITAN,1.7660966970284921,1773097955213.31,4309.0,-1.16
TORNTPHARM,0.45212897990519985,453921334608.36,4352.0,-0.14
TRENT,0.9467751932079432,950528451781.94,4296.0,0.14
TVSMOTOR,4.323651923761222,4340791983798.97,3707.1,2.47
ULTRACEMCO,1.425720851463974,1431372772900.31,12121.0,0.23
WIPRO,0.5603340913752775,562555398764.66,197.39,-0.87
