Symbol,WeightPct,FFMC,LastPrice,PChange
ADANIENT,1.9628066849107058,720135535704.5,2520.0,-0.8
BAJFINANCE,7.083036379197101,2598700237043.27,973.6,-0.73
BEL,4.292162885239656,1574754682901.26,440.9,0.62
BHARTIARTL,15.263834790807968,5600159164163.2,1829.6,-0.22
ETERNAL,5.04340212324826,1850377379351.46,257.6,0.61
HAL,2.4726189852293814,907180931881.88,4795.0,3.63
INDIGO,2.7794041566747514,1019737560857.83,4520.0,0.0
KOTAKBANK,7.6127247853758,2793037991786.2,380.45,1.02
MARUTI,4.910950638493732,1801782160239.04,13770.0,0.35
RELIANCE,26.353206904796384,9668746758308.72,1435.5,-0.17
SBIN,12.326679846356491,4522544304977.05,1092.9,-0.28
SHRIRAMFIN,3.8557357130773338,1414633608402.57,1013.0,0.89
TMPV,2.041310735177868,748937942344.3,358.6,0.13
TRENT,2.5907673026164715,950528451781.94,4296.0,0.14
VEDL,1.411358068798118,517814162117.06,305.6,-3.41
