Symbol,WeightPct,FFMC,LastPrice,PChange
APOLLOHOSP,1.0229055343151192,805002923968.83,7845.0,1.09
ASIANPAINT,1.452937515469642,1143428116341.34,2536.0,0.67
BAJAJ-AUTO,1.4868148008658881,1170088753990.9,10590.0,2.63
BAJAJFINSV,1.3376444793491944,1052695171727.5,1829.0,-0.39
BHARTIARTL,7.116040987560285,5600159164163.2,1829.6,-0.22
BOSCHLTD,0.4142702733742877,326021094023.07,37695.0,2.87
BRITANNIA,0.8786360892297723,691466217755.95,5885.5,1.77
CIPLA,0.9702275155483886,763546545336.08,1361.0,-0.25
DRREDDY,1.0088533694905666,793944196263.9,1306.5,-0.34
HCLTECH,1.5810324605530242,1244235866303.11,1182.4,-0.56
HDFCBANK,15.431384988410986,12144141975805.07,795.55,-0.13
HINDUNILVR,2.55589837435852,2011432723456.11,2273.0,-1.9
ICICIBANK,11.601932496933237,9130451708791.97,1279.0,-0.04
INFY,5.18001188184199,4076549174081.88,1165.9,-0.11
ITC,3.7561796023646217,2956026203221.32,307.55,-1.01
KOTAKBANK,3.549072847170323,2793037991786.2,380.45,1.02
LT,5.985319687421544,4710307733830.52,4023.0,0.36
MARUTI,2.289498445859221,1801782160239.04,13770.0,0.35
NESTLEIND,1.3405069446394677,1054947865501.39,1475.5,-0.71
PIDILITIND,0.5742041667955347,451885357659.13,1461.1,2.79
RELIANCE,12.2859362053054,9668746758308.72,1435.5,-0.17
SBILIFE,1.0671439904378655,839817562599.68,1875.0,0.86
SBIN,5.746731422959992,4522544304977.05,1092.9,-0.28
SHREECEM,0.43470322060922817,342101349450.02,25650.0,2.7
SUNPHARMA,2.459225645875444,1935353528959.4,1833.0,-0.93
TCS,3.109390362936377,2447018077383.07,2403.0,-1.33
TITAN,2.253049842761495,1773097955213.31,4309.0,-1.16
TORNTPHARM,0.5767912531614297,453921334608.36,4352.0,-0.14
ULTRACEMCO,1.8188246122748224,1431372772900.31,12121.0,0.23
WIPRO,0.7148309821263468,562555398764.66,197.39,-0.87
