Symbol,WeightPct,FFMC,LastPrice,PChange
ASIANPAINT,4.224159270011366,1143428116341.34,2536.0,0.67
BAJAJ-AUTO,4.322651495331268,1170088753990.9,10590.0,2.63
BEL,5.817606281237697,1574754682901.26,440.9,0.62
BRITANNIA,2.5544792819853557,691466217755.95,5885.5,1.77
COALINDIA,3.897216548181042,1054928730622.64,465.95,-0.9
COLPAL,1.0528389535059166,284990594451.43,2170.0,0.6
CUMMINSIND,2.6946599426063176,729411403644.0,5415.0,1.7
DIXON,1.6834590192690828,455691713379.81,11075.0,-1.98
HAL,3.3513927882480274,907180931881.88,4795.0,3.63
HAVELLS,1.1821801098106999,320001659438.71,1272.3,1.19
HCLTECH,4.596572704143574,1244235866303.11,1182.4,-0.56
HDFCAMC,2.1311304157879216,576870870921.39,2839.0,0.82
HEROMOTOCO,2.5596020334613745,692852883763.62,5352.5,3.53
HINDUNILVR,7.430823209051559,2011432723456.11,2273.0,-1.9
HINDZINC,1.016909263039697,275264867824.08,636.75,0.34
INFY,15.059969872399554,4076549174081.88,1165.9,-0.11
IRCTC,0.6334105272673785,171456462640.0,569.95,-0.49
ITC,10.920428936703058,2956026203221.32,307.55,-1.01
KPITTECH,0.43720397376685805,118345754557.65,724.0,-3.29
LTM,1.4527472651423494,393240870602.23,4250.0,-1.53
MARICO,1.6221144006400587,439086477345.12,832.0,2.11
MAZDOCK,0.752300661849826,203638564200.96,2688.0,1.64
NESTLEIND,3.8972872380427805,1054947865501.39,1475.5,-0.71
OFSS,0.8340881743525744,225777440929.68,9500.0,0.8
PAGEIND,0.8657880418237396,234358206339.77,37255.0,-0.76
PERSISTENT,1.9998870166371217,541344892121.63,4989.5,-0.49
PIDILITIND,1.6693972233654466,451885357659.13,1461.1,2.79
POLYCAB,1.7556524654484356,475233594000.43,9030.0,7.3
TATAELXSI,0.5440394553341287,147264809365.58,4291.3,0.23
TCS,9.040003431555789,2447018077383.07,2403.0,-1.33
