Symbol,WeightPct,FFMC,LastPrice,PChange
360ONE,0.14382617555670488,288644816544.38,1113.0,2.67
3MINDIA,0.045971848413668824,92260923300.0,32760.0,0.72
AADHARHFC,0.026664054792463428,53512103579.96,501.0,0.18
AARTIIND,0.04994052533194345,100225662795.89,489.0,-1.78
AAVAS,0.02807827716911288,56350307105.02,1418.0,-1.21
ABB,0.18733297329817272,375958628539.39,7188.0,0.08
ABBOTINDIA,0.06889904628191974,138273527034.63,26625.0,1.24
ABCAPITAL,0.15117124465954102,303385639037.14,368.85,-0.12
ABDL,0.015216307404409527,30537614187.6,572.0,4.99
ABFRL,0.016332341014248384,32777382542.16,67.51,1.96
ABLBL,0.031841862773555545,63903448750.75,118.55,10.18
ABREL,0.04124112524964665,82766832850.08,1586.0,2.34
ABSLAMC,0.03953030537028189,79333387663.15,1092.0,2.37
ACC,0.04221395154666011,84719198383.99,1416.8,0.2
ACE,0.01854893767269847,37225871374.98,907.0,2.19
ACMESOLAR,0.014991840879895427,30087132218.39,299.2,0.93
ACUTAAS,0.07047827142616922,141442874688.35,2735.0,1.83
ADANIENSOL,0.23925809500605988,480167178696.58,1388.0,-1.37
ADANIENT,0.35882972444416744,720135535704.5,2520.0,-0.8
ADANIGREEN,0.22792356798427427,457419911308.31,1368.2,1.12
ADANIPORTS,0.6359936398083579,1276375922361.22,1735.0,-0.76
ADANIPOWER,0.47330921413651145,949884475161.72,230.3,0.52
AEGISLOG,0.04613571017367217,92589777540.0,740.0,0.67
AEGISVOPAK,0.015487448444138494,31081767262.43,216.0,7.43
AFCONS,0.025845862776275798,51870073653.93,337.0,0.21
AFFLE,0.046762606575366385,93847896211.09,1484.0,3.47
AIAENG,0.07744313733554282,155420667220.8,4014.0,2.61
AIIL,0.06449296025715336,129430951005.79,490.0,3.3
AJANTPHARM,0.06430182488000499,129047361331.25,3072.0,-0.78
ALKEM,0.16144080875065137,323995631839.88,5552.5,-0.08
AMBER,0.09551593191416503,191690966805.69,8820.0,1.83
AMBUJACEM,0.13692557294013996,274795994043.23,451.85,1.11
ANANDRATHI,0.07660926501707647,153747168489.06,3615.8,-0.07
ANANTRAJ,0.042193722270202356,84678600239.95,556.5,-0.03
ANGELONE,0.10380878903769007,208333905504.32,322.0,1.63
ANTHEM,0.02411443822174842,48395276935.13,780.0,1.46
ANURAS,0.018443401656012538,37014071095.53,1370.0,0.71
APARINDS,0.10743875584711521,215618887530.11,12800.0,3.36
APLAPOLLO,0.17810108713293757,357431152033.75,1970.3,2.9
APOLLOHOSP,0.4011175161657548,805002923968.83,7845.0,1.09
APOLLOTYRE,0.06605520353165517,132566217737.46,411.0,-0.4
APTUS,0.0487445727296276,97825504979.31,276.95,3.57
ARE&M,0.05487227660289701,110123196644.21,902.0,2.38
