Symbol,WeightPct,FFMC,LastPrice,PChange
ABBOTINDIA,1.0456115134355854,138273527034.63,26625.0,1.24
ACUTAAS,1.0695778247598038,141442874688.35,2735.0,1.83
AJANTPHARM,0.9758441089930662,129047361331.25,3072.0,-0.78
ALKEM,2.4500247460222178,323995631839.88,5552.5,-0.08
ANTHEM,0.3659605699260303,48395276935.13,780.0,1.46
APOLLOHOSP,6.0873570212779375,805002923968.83,7845.0,1.09
ASTERDM,1.4166363970670481,187338517825.3,742.0,1.5
AUROPHARMA,3.119050977023236,412468851052.28,1479.7,-0.29
BIOCON,2.0574611324364587,272082321075.34,382.3,0.45
BLUEJET,0.13042181057157978,17247212294.67,492.5,0.62
CAPLIPOINT,0.27906084026681155,36903502060.87,1861.0,1.07
CIPLA,5.773867753061816,763546545336.08,1361.0,-0.25
COHANCE,0.5961621396432496,78837542121.29,485.9,0.97
CONCORDBIO,0.2974139486616132,39330549771.41,1192.0,-2.45
DIVISLAB,6.406525233615887,847210296277.02,6685.5,-0.25
DRREDDY,6.003731953919036,793944196263.9,1306.5,-0.34
EMCURE,0.42947317404824953,56794296714.74,1656.7,-0.17
ERIS,0.5724503929855694,75701858552.03,1382.1,0.74
FORTIS,3.7174341904667396,491600111924.96,946.0,-1.14
GLAND,1.1228374556810294,148486023048.34,1871.0,3.28
GLAXO,0.7743314880941243,102398973784.2,2482.0,2.42
GLENMARK,2.6908554209769053,355843508815.43,2370.0,-0.32
GRANULES,0.8130620241966331,107520768793.17,743.0,0.95
INDGN,0.41497571767897645,54877127288.57,533.5,0.09
IPCALAB,1.6306259368640905,215636875328.11,1557.0,-0.47
JBCHEPHARM,1.324746042634508,175186773851.0,2146.1,0.21
JUBLPHARMA,0.5962922252015801,78854744866.99,982.3,2.7
KIMS,1.3167105170094964,174124141644.42,707.0,0.96
LALPATHLAB,0.9081127830772027,120090450275.11,1546.1,-2.53
LAURUSLABS,3.5324644960301153,467139390408.77,1204.0,2.24
LUPIN,4.5044909379416325,595681896652.23,2462.0,0.78
MANKIND,2.028753473224821,268285969140.52,2377.7,0.71
MAXHEALTH,5.687811136264181,752166265206.82,1013.6,-0.23
MEDANTA,0.775267508008619,102522754723.19,1214.1,2.75
NATCOPHARM,0.78165867032261,103367933399.64,1155.5,0.47
NEULANDLAB,1.1151230997514205,147465862893.75,17151.0,0.7
NH,0.96390188097846,127468099849.32,1850.0,0.52
ONESOURCE,0.7554134270102171,99897215724.81,1814.5,4.07
PFIZER,0.5431542890439185,71827689639.07,4755.0,-0.59
POLYMED,0.48301833102303077,63875203548.1,1677.0,1.29
PPLPHARMA,0.8578949218863072,113449550956.6,183.6,11.14
RAINBOW,0.4860193449120003,64272062964.6,1290.5,0.55
SAILIFE,1.1283526199131848,149215358179.75,1087.4,0.76
SUNPHARMA,14.634962858373681,1935353528959.4,1833.0,-0.93
SYNGENE,0.6665047814411639,88139778236.09,465.8,3.49
TORNTPHARM,3.4325107910329082,453921334608.36,4352.0,-0.14
VIJAYA,0.44545228018251043,58907402142.19,1208.0,1.48
WOCKPHARMA,1.0166035069609398,134437456643.33,1632.0,-4.94
ZYDUSLIFE,1.7740263061017885,234600395314.05,940.45,0.18
