Symbol,WeightPct,FFMC,LastPrice,PChange
ABCAPITAL,0.7942026233113152,303385639037.14,368.85,-0.12
ANANDRATHI,0.40247918434184726,153747168489.06,3615.8,-0.07
ASAHIINDIA,0.26648424921298225,101797062698.85,842.2,0.1
ASIANPAINT,2.993264982641575,1143428116341.34,2536.0,0.67
ASTERDM,0.4904145851343109,187338517825.3,742.0,1.5
AUBANK,1.5318410151192712,585163724765.35,1037.0,1.27
BAJFINANCE,6.802874888902842,2598700237043.27,973.6,-0.73
BHARTIARTL,14.660091075025605,5600159164163.2,1829.6,-0.22
BSE,4.246695746303022,1622239041992.46,3981.0,3.35
CANBK,1.1963352997889287,457000441418.69,135.93,-1.53
CHOICEIN,0.14242653353454432,54406978299.9,689.0,0.55
CHOLAFIN,1.8895412696926923,721805328724.1,1689.2,-1.33
CUB,0.5107709768976757,195114665551.77,271.0,-0.73
CUMMINSIND,1.9094524450326285,729411403644.0,5415.0,1.7
EICHERMOT,2.637577141549783,1007555254932.93,7342.0,0.43
FEDERALBNK,1.9048147728408054,727639811483.18,296.3,1.13
FORCEMOT,0.2600829891150498,99351779431.77,20696.0,2.59
FORTIS,1.2869102827347194,491600111924.96,946.0,-1.14
GLENMARK,0.9315267825017937,355843508815.43,2370.0,-0.32
GMDCLTD,0.15216453143556705,58126896403.2,704.4,0.66
GMRAIRPORT,0.9380009842948558,358316655831.81,100.7,1.48
GVT&D,1.5500635086428973,592124722727.64,4792.1,5.02
HBLENGINE,0.25002270230059126,95508746867.39,849.95,-0.55
HEROMOTOCO,1.813749588148812,692852883763.62,5352.5,3.53
HINDALCO,3.993908285714846,1525674156634.41,1057.0,1.07
IIFL,0.2822540553567478,107821133350.33,465.0,2.15
INDIANB,0.7933715319027738,303068161871.14,860.0,-0.79
INDIGO,2.669467969850829,1019737560857.83,4520.0,0.0
KARURVYSYA,0.7929858019558724,302920812916.35,321.6,5.37
LAURUSLABS,1.2228770303438,467139390408.77,1204.0,2.24
LTF,0.676311343320743,258351134910.57,303.95,1.22
M&M,7.851896881321592,2999426951098.99,3366.0,1.98
M&MFIN,0.5647865803917546,215748642200.83,327.0,-0.11
MANAPPURAM,0.4542545380550554,173525369053.5,317.05,2.29
MARUTI,4.716703542194348,1801782160239.04,13770.0,0.35
MCX,2.0346038882191326,777219292277.32,3055.0,2.75
MFSL,1.1839715094290717,452277469812.77,1710.0,3.46
MUTHOOTFIN,1.0020509714655597,382783770038.87,3579.4,1.3
NAVINFLUOR,0.6763594011836828,258369493028.55,7042.0,-0.01
NH,0.33368586466429784,127468099849.32,1850.0,0.52
NYKAA,0.9628264038920102,367799973524.02,269.7,-0.97
PAYTM,1.313627209821329,501805986042.43,1196.4,7.73
POWERINDIA,1.1570391824064925,441989312855.5,34850.0,4.4
PTCIL,0.26591006453985366,101577723982.42,16820.0,-2.33
RADICO,0.6978677100299059,266585673424.32,3414.9,1.72
RBLBANK,0.5507023352650083,210368456360.7,349.45,4.05
SHRIRAMFIN,3.703226449291936,1414633608402.57,1013.0,0.89
SYRMA,0.21969564952787846,83923803660.83,1094.6,3.33
TVSMOTOR,11.363320926208495,4340791983798.97,3707.1,2.47
UPL,0.9545067151428456,364621849939.85,652.0,-1.21
