Symbol,WeightPct,FFMC,LastPrice,PChange
AARTIIND,0.23187573620558127,100225662795.89,489.0,-1.78
ALKEM,0.7495757430236261,323995631839.88,5552.5,-0.08
AMBER,0.44348406198668444,191690966805.69,8820.0,1.83
APLAPOLLO,0.8269300417540717,357431152033.75,1970.3,2.9
ARE&M,0.2547740427238693,110123196644.21,902.0,2.38
ASAHIINDIA,0.2355112273483465,101797062698.85,842.2,0.1
ASHOKLEY,1.1228091707852794,485321557040.73,170.1,1.37
ASTRAL,0.44565800378512566,192630628545.18,1578.2,0.13
ATHERENERG,0.4020963648886541,173801603127.0,911.5,1.55
ATUL,0.25718416170988545,111164943300.17,7005.0,-1.45
AUROPHARMA,0.9542617712031705,412468851052.28,1479.7,-0.29
BAJAJ-AUTO,2.707043123376952,1170088753990.9,10590.0,2.63
BEL,3.643252548846104,1574754682901.26,440.9,0.62
BHARATFORG,1.2280779275357117,530822785800.85,1997.0,6.57
BHEL,1.368965380509612,591719792900.44,406.5,5.32
CARBORUNIV,0.26781116790609216,115758346460.76,1005.0,1.74
CASTROLIND,0.20689690487653672,89428845643.79,185.7,-0.19
CHAMBLFERT,0.15738272777161105,68026902950.94,453.9,0.28
CIPLA,1.766492856102041,763546545336.08,1361.0,-0.25
COHANCE,0.18239353684535853,78837542121.29,485.9,0.97
CROMPTON,0.4312787292795419,186415349872.95,291.0,2.45
DEEPAKNTR,0.29401155837388093,127083168725.98,1857.0,1.94
DIVISLAB,1.9600520035497184,847210296277.02,6685.5,-0.25
DIXON,1.0542594438902448,455691713379.81,11075.0,-1.98
DRREDDY,1.8368189331883338,793944196263.9,1306.5,-0.34
EICHERMOT,2.3310159293349746,1007555254932.93,7342.0,0.43
ELGIEQUIP,0.27780487607352733,120078013715.56,559.1,1.93
EXIDEIND,0.3832697007667145,165663990625.0,365.15,3.82
GLAND,0.3435278445670169,148486023048.34,1871.0,3.28
GLENMARK,0.823256971107191,355843508815.43,2370.0,-0.32
GRANULES,0.24875323071775943,107520768793.17,743.0,0.95
HAL,2.098796262192464,907180931881.88,4795.0,3.63
HAVELLS,0.7403355418109678,320001659438.71,1272.3,1.19
HEROMOTOCO,1.6029404847341902,692852883763.62,5352.5,3.53
HINDALCO,3.5297029564162705,1525674156634.41,1057.0,1.07
HINDCOPPER,0.4302345130814608,185963999238.91,568.25,3.22
HINDPETRO,0.8827518708866909,381559505930.75,398.45,-0.19
HSCL,0.3339653432537048,144352740076.19,616.6,-2.92
INOXWIND,0.23803061590924576,102886039891.93,107.0,-0.1
JBCHEPHARM,0.40530100801535524,175186773851.0,2146.1,0.21
JSWSTEEL,2.7695747274749785,1197117332180.98,1280.4,0.56
KAJARIACER,0.20991610860048318,90733862284.6,1099.0,-1.06
KAYNES,0.3160948624059961,136628426973.18,4380.0,1.73
LAURUSLABS,1.0807440633468364,467139390408.77,1204.0,2.24
LUPIN,1.3781318524364694,595681896652.23,2462.0,0.78
M&M,6.939283942649675,2999426951098.99,3366.0,1.98
MANKIND,0.6206894010247141,268285969140.52,2377.7,0.71
MARUTI,4.168488920231342,1801782160239.04,13770.0,0.35
MSUMI,0.25161957891982467,108759715364.54,42.9,2.29
NATCOPHARM,0.23914549416253805,103367933399.64,1155.5,0.47
NAVINFLUOR,0.5977472708867391,258369493028.55,7042.0,-0.01
NEULANDLAB,0.3411676667413547,147465862893.75,17151.0,0.7
PAGEIND,0.542196281021572,234358206339.77,37255.0,-0.76
PGEL,0.19875398245587228,85909159582.36,535.95,-1.57
PIIND,0.5791667482559206,250338272400.46,3099.0,0.91
POLYCAB,1.099470299367208,475233594000.43,9030.0,7.3
PPLPHARMA,0.2624696850728433,113449550956.6,183.6,11.14
RELIANCE,22.368999218632243,9668746758308.72,1435.5,-0.17
SAILIFE,0.34521518806586404,149215358179.75,1087.4,0.76
SONACOMS,0.5988479242963182,258845238008.55,579.0,-0.62
SRF,0.929509734091131,401770063133.81,2775.4,2.05
SUNPHARMA,4.477511166570537,1935353528959.4,1833.0,-0.93
SUPREMEIND,0.545140105261463,235630641051.68,3669.3,-1.08
SUZLON,1.5587613757700296,673756963896.7,55.66,2.47
TATACHEM,0.28971686945485536,125226838044.49,802.55,-1.64
TATASTEEL,4.139780444365291,1789373246444.87,217.1,0.76
TIINDIA,0.7440599319658694,321611484933.58,3018.5,3.48
TIMKEN,0.2880150940227549,124491264873.26,3479.4,1.02
TMPV,1.7326953188330436,748937942344.3,358.6,0.13
UPL,0.8435659843290231,364621849939.85,652.0,-1.21
VOLTAS,0.7164464830935151,309675884164.82,1363.0,-1.2
WELCORP,0.3928396690980152,169800501131.17,1299.4,1.14
WHIRLPOOL,0.17169906829178105,74214979120.21,976.4,0.68
WOCKPHARMA,0.311025972422468,134437456643.33,1632.0,-4.94
ZFCVINDIA,0.25292525004783517,109324076933.11,14515.0,-1.2
