Symbol,WeightPct,FFMC,LastPrice,PChange
ABREL,0.1831552902687016,82766832850.08,1586.0,2.34
ADANIPORTS,2.8245010048348727,1276375922361.22,1735.0,-0.76
AEGISLOG,0.20489255172987828,92589777540.0,740.0,0.67
APOLLOHOSP,1.781396474040894,805002923968.83,7845.0,1.09
ARE&M,0.24369237473689426,110123196644.21,902.0,2.38
ASAHIINDIA,0.2252674160056502,101797062698.85,842.2,0.1
ASHOKLEY,1.0739713915894655,485321557040.73,170.1,1.37
ASTERDM,0.4145626868790833,187338517825.3,742.0,1.5
BEML,0.17003659806925886,76838570538.41,2015.0,6.17
BHARATFORG,1.1746613717924994,530822785800.85,1997.0,6.57
BHARTIARTL,12.392630501171203,5600159164163.2,1829.6,-0.22
BHEL,1.3094207751397764,591719792900.44,406.5,5.32
BPCL,1.3783681676012876,622876726991.39,308.2,-1.86
BRIGADE,0.23608002104057407,106683217350.93,769.85,-4.83
CASTROLIND,0.19789770392630693,89428845643.79,185.7,-0.19
CESC,0.2593405721514299,117194527960.46,186.4,0.75
CONCOR,0.4016587551369346,181507304541.51,527.25,0.58
DALBHARAT,0.3473155692390856,156949928245.42,1975.0,0.02
DELHIVERY,0.5963626246067699,269492874579.0,483.9,2.74
EIHOTEL,0.14687315247335087,66371141358.2,336.0,0.84
ELGIEQUIP,0.26572145749251375,120078013715.56,559.1,1.93
EXIDEIND,0.3665989774545783,165663990625.0,365.15,3.82
FORTIS,1.087865248617583,491600111924.96,946.0,-1.14
GESHIP,0.34109209142509533,154137574055.59,1559.7,-0.98
GMRAIRPORT,0.7929213774056133,358316655831.81,100.7,1.48
GODREJPROP,0.6168854261085055,278767011727.96,1878.5,0.61
GRASIM,2.482669328196522,1121904133958.7,2955.2,1.39
GSPL,0.1902510240851735,85973354561.11,300.2,1.28
HFCL,0.332168083529347,150104865697.69,147.0,3.92
HINDPETRO,0.8443556392947242,381559505930.75,398.45,-0.19
IDEA,0.6842021581594794,309187059663.8,11.23,-0.62
IGL,0.26314081905541425,118911837899.09,170.0,0.32
INDHOTEL,1.2926608669040556,584146085793.79,667.1,0.14
INDIGO,2.2565842200959976,1019737560857.83,4520.0,0.0
INDUSTOWER,1.151928563601967,520549959212.23,403.3,-1.22
INOXWIND,0.2276772210812635,102886039891.93,107.0,-0.1
JPPOWER,0.20745736638128373,93748802677.81,19.31,0.0
JSWENERGY,0.6863271539858906,310147333178.77,577.0,1.6
JYOTICNC,0.1453643271471389,65689311784.01,772.85,0.02
KAYNES,0.3023459801410619,136628426973.18,4380.0,1.73
KEC,0.1752492333451768,79194130740.67,612.35,4.25
KIMS,0.38532050348524877,174124141644.42,707.0,0.96
KIRLOSENG,0.3177005062609706,143567049903.45,1729.8,1.21
KPIL,0.3278775414662575,148165994168.23,1308.5,2.2
LEMONTREE,0.13390269866024956,60509867129.3,122.1,0.07
LT,10.423472187311138,4710307733830.52,4023.0,0.36
MAXHEALTH,1.6644738706362996,752166265206.82,1013.6,-0.23
MGL,0.14893594125704177,67303303864.75,1185.0,1.56
MSUMI,0.24067511769135466,108759715364.54,42.9,2.29
NBCC,0.2220912689316875,100361779920.0,97.2,2.38
NCC,0.15333890037152204,69292976019.67,170.25,0.02
NH,0.28207502962195896,127468099849.32,1850.0,0.52
NHPC,0.5699268740318548,257546709410.14,81.64,-2.41
NTPC,4.183614737894746,1890551680011.38,399.9,1.28
OBEROIRLTY,0.43385095258140244,196054775275.52,1670.3,-0.19
OIL,0.5452261550489618,246384595139.05,453.0,0.61
ONGC,2.431046712027032,1098576167632.88,283.6,1.0
PETRONET,0.4656740865930345,210435468345.55,281.6,-0.6
PHOENIXLTD,0.7516545501019121,339668411532.19,1825.2,-0.76
POWERGRID,3.138207870826636,1418138268965.41,314.0,-0.62
POWERINDIA,0.9780811721809748,441989312855.5,34850.0,4.4
PRESTIGE,0.5538142230861475,250265494187.59,1487.8,2.24
RAMCOCEM,0.2679114966076253,121067679922.36,961.0,2.79
RELIANCE,21.39603580410398,9668746758308.72,1435.5,-0.17
RPOWER,0.18599793723668218,84051408829.87,29.21,0.14
RVNL,0.3870722991519307,174915768132.08,309.0,1.28
SONACOMS,0.57280039684497,258845238008.55,579.0,-0.62
SUZLON,1.4909613917036562,673756963896.7,55.66,2.47
TATAPOWER,1.6245349686503536,734118102797.55,439.75,-0.79
TIINDIA,0.7116962537814573,321611484933.58,3018.5,3.48
TITAGARH,0.14956277144184474,67586564856.31,846.0,-0.05
TORNTPOWER,0.7177048212058152,324326722341.96,1711.0,-1.33
ULTRACEMCO,3.16749459506495,1431372772900.31,12121.0,0.23
UNOMINDA,0.4597908009331613,207776845053.23,1147.0,1.69
ZFCVINDIA,0.24192399726483274,109324076933.11,14515.0,-1.2
