Symbol,WeightPct,FFMC,LastPrice,PChange
360ONE,1.3191791311336576,288644816544.38,1113.0,2.67
AFFLE,0.42890839913431256,93847896211.09,1484.0,3.47
ANANDRATHI,0.7026630811174606,153747168489.06,3615.8,-0.07
ANGELONE,0.9521381459022822,208333905504.32,322.0,1.63
ASIANPAINT,5.225752975879423,1143428116341.34,2536.0,0.67
ASTRAZEN,0.24092767793756223,52716514200.0,8572.0,2.26
BAJFINANCE,11.876711183734292,2598700237043.27,973.6,-0.73
BEL,7.1970234532825526,1574754682901.26,440.9,0.62
BRITANNIA,3.160173860968406,691466217755.95,5885.5,1.77
BSE,7.4140388714642835,1622239041992.46,3981.0,3.35
CAMS,0.914975932145257,200202575862.18,835.0,2.35
CANBK,2.0886065180585467,457000441418.69,135.93,-1.53
CANFINHOME,0.34027474034904603,74454285763.55,886.05,-1.91
CASTROLIND,0.40871223085526015,89428845643.79,185.7,-0.19
CDSL,1.031067200116187,225604086510.0,1270.0,-1.0
COROMANDEL,1.0602070181400922,231980064744.6,1968.0,-2.48
CUMMINSIND,3.333592867586204,729411403644.0,5415.0,1.7
DIXON,2.082625303021018,455691713379.81,11075.0,-1.98
ECLERX,0.2996408284669574,65563326405.66,1605.0,1.49
EICHERMOT,4.604779956501361,1007555254932.93,7342.0,0.43
FORCEMOT,0.4540625244425058,99351779431.77,20696.0,2.59
GILLETTE,0.2946849027769865,64478938222.26,7950.0,0.63
GMDCLTD,0.2656544801693321,58126896403.2,704.4,0.66
GODFRYPHLP,0.43487231591199393,95152839280.27,2342.0,1.47
GPIL,0.34062051713787384,74529943932.65,304.7,0.03
GRSE,0.41331752295987456,90436512960.0,3096.0,2.48
GVT&D,2.7061583388264543,592124722727.64,4792.1,5.02
HBLENGINE,0.4364989027572444,95508746867.39,849.95,-0.55
HDFCAMC,2.6364444142422014,576870870921.39,2839.0,0.82
HEROMOTOCO,3.1665112720505464,692852883763.62,5352.5,3.53
HINDCOPPER,0.8499020695228967,185963999238.91,568.25,3.22
INDIAMART,0.29156446940734415,63796167477.74,2091.2,1.67
INTELLECT,0.31455318647055863,68826245548.79,790.0,0.71
LALPATHLAB,0.548843446239443,120090450275.11,1546.1,-2.53
LTM,1.7972093045624904,393240870602.23,4250.0,-1.53
MANAPPURAM,0.7930544130954372,173525369053.5,317.05,2.29
MARICO,2.0067352139255026,439086477345.12,832.0,2.11
MARUTI,8.234595906110131,1801782160239.04,13770.0,0.35
MCX,3.5520868968352652,777219292277.32,3055.0,2.75
MGL,0.3075929614037412,67303303864.75,1185.0,1.56
MOTILALOFS,0.6316241416952367,138203394976.35,890.0,0.94
MSUMI,0.4970591487995014,108759715364.54,42.9,2.29
MUTHOOTFIN,1.749417734977074,382783770038.87,3579.4,1.3
NAM-INDIA,0.9016387627023821,197284318033.35,1109.7,1.42
NATIONALUM,1.6498775389943974,361003739616.83,403.7,-0.7
NESTLEIND,4.821376060946716,1054947865501.39,1475.5,-0.71
NH,0.5825611532526176,127468099849.32,1850.0,0.52
PERSISTENT,2.474081790146596,541344892121.63,4989.5,-0.49
SOLARINDS,1.768534655658938,386966674341.16,15930.0,1.21
USHAMART,0.3968665781845601,86836941207.7,478.0,1.86
