Symbol,WeightPct,FFMC,LastPrice,PChange
ACC,0.3198123020912767,84719198383.99,1416.8,0.2
ALKEM,1.2230732922729255,323995631839.88,5552.5,-0.08
ASIANPAINT,4.316405078640614,1143428116341.34,2536.0,0.67
ASTERDM,0.7071969966538196,187338517825.3,742.0,1.5
BAJAJ-AUTO,4.417048144965217,1170088753990.9,10590.0,2.63
BAJFINANCE,9.810011439048424,2598700237043.27,973.6,-0.73
BANKBARODA,1.8852823470104358,499416714497.2,269.95,-0.13
BPCL,2.3513400005900085,622876726991.39,308.2,-1.86
BRITANNIA,2.6102631651041293,691466217755.95,5885.5,1.77
CAMS,0.7557584100463696,200202575862.18,835.0,2.35
CANBK,1.7251622538305404,457000441418.69,135.93,-1.53
CASTROLIND,0.3375910719678239,89428845643.79,185.7,-0.19
CHENNPETRO,0.19533413090726454,51744572923.82,1078.9,0.6
COALINDIA,3.9823226885774194,1054928730622.64,465.95,-0.9
COLPAL,1.0758305062421045,284990594451.43,2170.0,0.6
CUMMINSIND,2.753505045145714,729411403644.0,5415.0,1.7
DABUR,1.0380038322535927,274970199748.4,467.0,0.16
DRREDDY,2.9971143021007394,793944196263.9,1306.5,-0.34
EICHERMOT,3.8034893118766497,1007555254932.93,7342.0,0.43
EMAMILTD,0.33671423469485434,89196568929.0,454.0,0.4
FEDERALBNK,2.7468173406097165,727639811483.18,296.3,1.13
GESHIP,0.5818644809887452,154137574055.59,1559.7,-0.98
GILLETTE,0.2434059583023523,64478938222.26,7950.0,0.63
GLAXO,0.386552896656043,102398973784.2,2482.0,2.42
HAVELLS,1.2079961724173087,320001659438.71,1272.3,1.19
HDFCAMC,2.177669344822719,576870870921.39,2839.0,0.82
HEROMOTOCO,2.6154977855514883,692852883763.62,5352.5,3.53
HINDPETRO,1.440375101561203,381559505930.75,398.45,-0.19
IEX,0.40030873568041814,106042935094.08,133.8,3.08
INDIANB,1.1440727531352277,303068161871.14,860.0,-0.79
IOC,2.066539987546789,547432384647.47,146.93,-0.86
IRCTC,0.6472427392052347,171456462640.0,569.95,-0.49
LICHSGFIN,0.6660221175096,176431173949.39,588.5,1.09
LTF,0.9752673866099449,258351134910.57,303.95,1.22
M&MFIN,0.8144443201950062,215748642200.83,327.0,-0.11
MANAPPURAM,0.6550527956686334,173525369053.5,317.05,2.29
MARICO,1.6575376044095007,439086477345.12,832.0,2.11
MARUTI,6.801670831695874,1801782160239.04,13770.0,0.35
MFSL,1.7073331849676032,452277469812.77,1710.0,3.46
MRF,0.9962337665894284,263905189252.01,130395.0,0.05
MSUMI,0.4105644955216983,108759715364.54,42.9,2.29
MUTHOOTFIN,1.4449966599594652,382783770038.87,3579.4,1.3
NATIONALUM,1.3627777319979493,361003739616.83,403.7,-0.7
ONGC,4.147090386772103,1098576167632.88,283.6,1.0
PAGEIND,0.8846948379255232,234358206339.77,37255.0,-0.76
PFC,2.5052332427701933,663643489335.94,457.05,-1.48
REDINGTON,0.5032917308051563,133323426610.82,225.02,0.8
TCS,9.237416069965322,2447018077383.07,2403.0,-1.33
TORNTPHARM,1.713538722728024,453921334608.36,4352.0,-0.14
UNIONBANK,1.2172322634118378,322448326499.8,167.34,-0.84
