Symbol,WeightPct,FFMC,LastPrice,PChange
ASTERDM,0.7007430233592873,187338517825.3,742.0,1.5
BANDHANBNK,0.6919289605571999,184982142654.49,208.15,-0.35
BANKBARODA,1.8680770110462974,499416714497.2,269.95,-0.13
BANKINDIA,0.6362166489413192,170087863960.56,140.36,-1.39
BPCL,2.3298813608588187,622876726991.39,308.2,-1.86
CANBK,1.7094181950072704,457000441418.69,135.93,-1.53
CESC,0.43836819463235105,117194527960.46,186.4,0.75
CHAMBLFERT,0.25445582786164644,68026902950.94,453.9,0.28
CHOLAHLDNG,0.6497300170704762,173700564011.44,1757.0,1.4
COALINDIA,3.9459794851929306,1054928730622.64,465.95,-0.9
FEDERALBNK,2.7217495223849,727639811483.18,296.3,1.13
GAIL,1.685489063731283,450603163334.35,167.52,1.11
GESHIP,0.5765543088031913,154137574055.59,1559.7,-0.98
GRASIM,4.196502160237176,1121904133958.7,2955.2,1.39
HINDALCO,5.706811037002583,1525674156634.41,1057.0,1.07
HINDPETRO,1.4272300479430864,381559505930.75,398.45,-0.19
INDIANB,1.1336317939248883,303068161871.14,860.0,-0.79
INDUSINDBK,2.333710743011226,623900484278.59,950.0,0.34
IOC,2.0476804703898757,547432384647.47,146.93,-0.86
IRB,0.32113619457824366,85853410889.4,21.7,-0.6
KARURVYSYA,1.1330806325659377,302920812916.35,321.6,5.37
LICHSGFIN,0.6599439116061337,176431173949.39,588.5,1.09
MAHABANK,0.6501378419733984,173809593013.94,85.6,2.36
MANAPPURAM,0.6490746972466124,173525369053.5,317.05,2.29
MGL,0.25174919274334334,67303303864.75,1185.0,1.56
NATIONALUM,1.3503408422341152,361003739616.83,403.7,-0.7
NCC,0.2591915964599812,69292976019.67,170.25,0.02
NMDC,1.1609615073317943,310374560695.77,90.05,0.98
NTPC,7.071641835575799,1890551680011.38,399.9,1.28
OIL,0.9216059148492698,246384595139.05,453.0,0.61
ONGC,4.109243491588891,1098576167632.88,283.6,1.0
PETRONET,0.7871375733206197,210435468345.55,281.6,-0.6
PFC,2.48237015296365,663643489335.94,457.05,-1.48
PNB,1.402912197953996,375058306743.9,109.08,-1.0
POWERGRID,5.304571156386729,1418138268965.41,314.0,-0.62
RBLBANK,0.7868869138117787,210368456360.7,349.45,4.05
RECLTD,1.6765229408051006,448206136002.45,359.85,0.21
REDINGTON,0.49869862392638725,133323426610.82,225.02,0.8
RPOWER,0.3143957741566822,84051408829.87,29.21,0.14
SAIL,1.0102214227479502,270075302506.34,187.34,0.7
SAMMAANCAP,0.4340916949689287,116051237079.61,151.9,1.42
SBIN,16.916656576205458,4522544304977.05,1092.9,-0.28
TATACHEM,0.4684131918821496,125226838044.49,802.55,-1.64
TATASTEEL,6.693182123930863,1789373246444.87,217.1,0.76
TMPV,2.8014155557493825,748937942344.3,358.6,0.13
UNIONBANK,1.206123640837824,322448326499.8,167.34,-0.84
UPL,1.3638744475814404,364621849939.85,652.0,-1.21
VEDL,1.9368929876905503,517814162117.06,305.6,-3.41
ZEEL,0.32336749437114737,86449932555.82,94.42,-0.12
