Symbol,WeightPct,FFMC,LastPrice,PChange
ABCAPITAL,0.8466446909000761,303385639037.14,368.85,-0.12
ADANIPOWER,2.6507999865004312,949884475161.72,230.3,0.52
AMBER,0.5349433804929453,191690966805.69,8820.0,1.83
APARINDS,0.6017179552879246,215618887530.11,12800.0,3.36
ASHOKLEY,1.3543650943794057,485321557040.73,170.1,1.37
AUBANK,1.6329901522439814,585163724765.35,1037.0,1.27
BANKINDIA,0.4746565706464232,170087863960.56,140.36,-1.39
BDL,0.37782677737068454,135389992437.19,1473.1,5.11
BEL,4.394597239275288,1574754682901.26,440.9,0.62
BHARATFORG,1.4813433319830305,530822785800.85,1997.0,6.57
BSE,4.527109709717028,1622239041992.46,3981.0,3.35
CANBK,1.2753306276924972,457000441418.69,135.93,-1.53
CUMMINSIND,2.035535677750275,729411403644.0,5415.0,1.7
DELHIVERY,0.7520616737886491,269492874579.0,483.9,2.74
EICHERMOT,2.811739244101168,1007555254932.93,7342.0,0.43
FEDERALBNK,2.030591774992851,727639811483.18,296.3,1.13
FORTIS,1.371886375795786,491600111924.96,946.0,-1.14
GLENMARK,0.9930365144704719,355843508815.43,2370.0,-0.32
GVT&D,1.6524158969392262,592124722727.64,4792.1,5.02
HDFCAMC,1.6098476570959517,576870870921.39,2839.0,0.82
HINDCOPPER,0.5189613890553821,185963999238.91,568.25,3.22
IIFL,0.30089159924511427,107821133350.33,465.0,2.15
INDIANB,0.8457587216171233,303068161871.14,860.0,-0.79
KARURVYSYA,0.8453475215000757,302920812916.35,321.6,5.37
LAURUSLABS,1.3036249377363127,467139390408.77,1204.0,2.24
LTF,0.7209689207908309,258351134910.57,303.95,1.22
M&M,8.370366217564063,2999426951098.99,3366.0,1.98
MANAPPURAM,0.48424946187923257,173525369053.5,317.05,2.29
MARUTI,5.028152634271881,1801782160239.04,13770.0,0.35
MCX,2.168951007569454,777219292277.32,3055.0,2.75
MFSL,1.2621504427367602,452277469812.77,1710.0,3.46
MUTHOOTFIN,1.068217492741808,382783770038.87,3579.4,1.3
NATIONALUM,1.007436939044588,361003739616.83,403.7,-0.7
NAVINFLUOR,0.7210201519670065,258369493028.55,7042.0,-0.01
NH,0.35571950715615824,127468099849.32,1850.0,0.52
NYKAA,1.0264028840837107,367799973524.02,269.7,-0.97
PAYTM,1.4003674507898884,501805986042.43,1196.4,7.73
POLYCAB,1.326213068538062,475233594000.43,9030.0,7.3
POONAWALLA,0.44856137323598577,160736942343.43,453.15,0.32
POWERINDIA,1.2334397447134005,441989312855.5,34850.0,4.4
RADICO,0.7439486779632697,266585673424.32,3414.9,1.72
RBLBANK,0.5870658125938103,210368456360.7,349.45,4.05
REDINGTON,0.37205970483935263,133323426610.82,225.02,0.8
SBILIFE,2.3436411919702587,839817562599.68,1875.0,0.86
SBIN,12.620861479539098,4522544304977.05,1092.9,-0.28
SHRIRAMFIN,3.9477545408015624,1414633608402.57,1013.0,0.89
SOLARINDS,1.0798905361044286,386966674341.16,15930.0,1.21
TVSMOTOR,12.113653431483309,4340791983798.97,3707.1,2.47
UNIONBANK,0.8998420775191994,322448326499.8,167.34,-0.84
VEDL,1.4450407495247701,517814162117.06,305.6,-3.41
