Symbol,WeightPct,FFMC,LastPrice,PChange
APOLLOHOSP,1.1380396696278388,805002923968.83,7845.0,1.09
ASIANPAINT,1.6164743220419238,1143428116341.34,2536.0,0.67
BAJAJFINSV,1.4882043652029922,1052695171727.5,1829.0,-0.39
BAJFINANCE,3.673805238676403,2598700237043.27,973.6,-0.73
BHARTIARTL,7.916993957768997,5600159164163.2,1829.6,-0.22
BRITANNIA,0.9775318357033226,691466217755.95,5885.5,1.77
DRREDDY,1.1224058496141491,793944196263.9,1306.5,-0.34
EICHERMOT,1.4243896702915118,1007555254932.93,7342.0,0.43
FEDERALBNK,1.0286707613256383,727639811483.18,296.3,1.13
GRASIM,1.586045680020291,1121904133958.7,2955.2,1.39
HDFCBANK,17.168279655334402,12144141975805.07,795.55,-0.13
HDFCLIFE,0.952120618523913,673491357408.84,628.0,3.57
ICICIBANK,12.907799384128557,9130451708791.97,1279.0,-0.04
KOTAKBANK,3.9485422211378776,2793037991786.2,380.45,1.02
MARICO,0.6207403907954506,439086477345.12,832.0,2.11
MARUTI,2.5471951881496113,1801782160239.04,13770.0,0.35
MFSL,0.6393886121409534,452277469812.77,1710.0,3.46
NESTLEIND,1.4913890180804887,1054947865501.39,1475.5,-0.71
PIDILITIND,0.6388342797621522,451885357659.13,1461.1,2.79
RELIANCE,13.668791800521399,9668746758308.72,1435.5,-0.17
SBICARD,0.27386367742007184,193720014315.59,648.0,-0.25
SBILIFE,1.1872574285526492,839817562599.68,1875.0,0.86
SBIN,6.393560412598741,4522544304977.05,1092.9,-0.28
SHREECEM,0.48363166780548666,342101349450.02,25650.0,2.7
SUNPHARMA,2.736026199571058,1935353528959.4,1833.0,-0.93
TATACONSUM,1.0615016929115177,750863075687.93,1156.4,0.36
TITAN,2.506644076794539,1773097955213.31,4309.0,-1.16
TORNTPHARM,0.6417125581704445,453921334608.36,4352.0,-0.14
TVSMOTOR,6.1366155675690806,4340791983798.97,3707.1,2.47
ULTRACEMCO,2.0235441997584926,1431372772900.31,12121.0,0.23
