Symbol,WeightPct,FFMC,LastPrice,PChange
ASIANPAINT,1.7632177844882742,1143428116341.34,2536.0,0.67
BAJAJ-AUTO,1.8043296915488738,1170088753990.9,10590.0,2.63
BEL,2.428342825766936,1574754682901.26,440.9,0.62
BOSCHLTD,0.5027392477798716,326021094023.07,37695.0,2.87
BPCL,0.9605040377083117,622876726991.39,308.2,-1.86
BRITANNIA,1.0662721294813529,691466217755.95,5885.5,1.77
CIPLA,1.1774232492453918,763546545336.08,1361.0,-0.25
COALINDIA,1.6267477357065483,1054928730622.64,465.95,-0.9
COLPAL,0.43946836479455476,284990594451.43,2170.0,0.6
DRREDDY,1.2242977995180375,793944196263.9,1306.5,-0.34
EICHERMOT,1.5536956971434317,1007555254932.93,7342.0,0.43
FEDERALBNK,1.122053444351229,727639811483.18,296.3,1.13
HCLTECH,1.918667886691095,1244235866303.11,1182.4,-0.56
HDFCAMC,0.889560930350773,576870870921.39,2839.0,0.82
HDFCBANK,18.72681526986158,12144141975805.07,795.55,-0.13
HEROMOTOCO,1.0684104310771647,692852883763.62,5352.5,3.53
HINDUNILVR,3.101720081580324,2011432723456.11,2273.0,-1.9
ICICIBANK,14.079568801286529,9130451708791.97,1279.0,-0.04
INFY,6.286222894431972,4076549174081.88,1165.9,-0.11
ITC,4.558325878508694,2956026203221.32,307.55,-1.01
KOTAKBANK,4.306990697086107,2793037991786.2,380.45,1.02
MARICO,0.6770911740918787,439086477345.12,832.0,2.11
MARUTI,2.7784294467696884,1801782160239.04,13770.0,0.35
NESTLEIND,1.626777242553576,1054947865501.39,1475.5,-0.71
RELIANCE,14.909644073221326,9668746758308.72,1435.5,-0.17
SUNPHARMA,2.9844025284704996,1935353528959.4,1833.0,-0.93
TCS,3.7734123652755405,2447018077383.07,2403.0,-1.33
TECHM,1.4156180628490471,918013366982.93,1450.0,-1.14
WIPRO,0.867485825900081,562555398764.66,197.39,-0.87
ZYDUSLIFE,0.36176440246133307,234600395314.05,940.45,0.18
