Symbol,WeightPct,FFMC,LastPrice,PChange
ASHOKLEY,3.103942740613847,485321557040.73,170.1,1.37
BAJAJ-AUTO,7.483468313193336,1170088753990.9,10590.0,2.63
BHARATFORG,3.3949522922195086,530822785800.85,1997.0,6.57
BOSCHLTD,2.085114072101615,326021094023.07,37695.0,2.87
EICHERMOT,6.443962304880555,1007555254932.93,7342.0,0.43
EXIDEIND,1.0595275104139557,165663990625.0,365.15,3.82
HEROMOTOCO,4.431238727545279,692852883763.62,5352.5,3.53
M&M,19.18325979095938,2999426951098.99,3366.0,1.98
MARUTI,11.52355294197688,1801782160239.04,13770.0,0.35
MOTHERSON,3.697633447258128,578148945374.65,131.0,2.82
SONACOMS,1.6554813727173352,258845238008.55,579.0,-0.62
TIINDIA,2.0569117927597995,321611484933.58,3018.5,3.48
TMPV,4.78993866146104,748937942344.3,358.6,0.13
TVSMOTOR,27.76214979772028,4340791983798.97,3707.1,2.47
UNOMINDA,1.3288662341790367,207776845053.23,1147.0,1.69
