Symbol,WeightPct,FFMC,LastPrice,PChange
AUBANK,1.592199675758129,585163724765.35,1037.0,1.27
AXISBANK,10.093583351530818,3709584243822.28,1296.0,0.14
BANKBARODA,1.3588865769310883,499416714497.2,269.95,-0.13
CANBK,1.2434741318593208,457000441418.69,135.93,-1.53
FEDERALBNK,1.9798696038049894,727639811483.18,296.3,1.13
HDFCBANK,33.04357071004562,12144141975805.07,795.55,-0.13
ICICIBANK,24.84347821815741,9130451708791.97,1279.0,-0.04
IDFCFIRSTB,1.2729813826498222,467844918429.36,70.81,1.75
INDUSINDBK,1.6976003582109478,623900484278.59,950.0,0.34
KOTAKBANK,7.599709272281695,2793037991786.2,380.45,1.02
PNB,1.0205138991271103,375058306743.9,109.08,-1.0
SBIN,12.30560486105618,4522544304977.05,1092.9,-0.28
UNIONBANK,0.8773649137386405,322448326499.8,167.34,-0.84
YESBANK,1.0711630448482248,393672833060.92,22.48,1.58
