Symbol,WeightPct,FFMC,LastPrice,PChange
360ONE,5.669210029219421,288644816544.38,1113.0,2.67
ABSLAMC,1.5581698032077103,79333387663.15,1092.0,2.37
ANANDRATHI,3.019714679089871,153747168489.06,3615.8,-0.07
ANGELONE,4.091840902086479,208333905504.32,322.0,1.63
BSE,31.86204400535605,1622239041992.46,3981.0,3.35
CAMS,3.9321352260587874,200202575862.18,835.0,2.35
CDSL,4.431040769023227,225604086510.0,1270.0,-1.0
GROWW,2.4906756924555484,126811429566.91,208.2,-1.24
HDFCAMC,11.330195241837131,576870870921.39,2839.0,0.82
ICICIAMC,2.245447489008963,114325765879.99,3284.5,-0.26
IEX,2.082766211984927,106042935094.08,133.8,3.08
KFINTECH,2.4103939658371325,122723928110.41,922.1,1.05
MCX,15.265194987500957,777219292277.32,3055.0,2.75
MOTILALOFS,2.7144228060358406,138203394976.35,890.0,0.94
NAM-INDIA,3.874818359090184,197284318033.35,1109.7,1.42
NUVAMA,2.2232424063139793,113195205892.3,1475.0,4.34
UTIAMC,0.7986874258937798,40664745940.83,970.65,0.33
