Symbol,WeightPct,FFMC,LastPrice,PChange
AARTIIND,2.7334434119566087,100225662795.89,489.0,-1.78
ATUL,3.0317891987723558,111164943300.17,7005.0,-1.45
BAYERCROP,1.8008421318966121,66030485749.44,4658.7,0.17
CHAMBLFERT,1.8552901973393963,68026902950.94,453.9,0.28
COROMANDEL,6.326766638328457,231980064744.6,1968.0,-2.48
DEEPAKFERT,2.452728944660691,89932860165.31,1346.0,3.99
DEEPAKNTR,3.4659251995372697,127083168725.98,1857.0,1.94
FLUOROCHEM,4.366165878910815,160091797465.6,3808.0,-0.07
HSCL,3.936916308178578,144352740076.19,616.6,-2.92
LINDEINDIA,4.492020027055518,164706422139.46,7850.0,3.64
NAVINFLUOR,7.046482596056427,258369493028.55,7042.0,-0.01
PCBL,1.460659984192809,53557214462.46,306.0,0.05
PIDILITIND,12.324219360549415,451885357659.13,1461.1,2.79
PIIND,6.827448004481513,250338272400.46,3099.0,0.91
SOLARINDS,10.553699293350824,386966674341.16,15930.0,1.21
SRF,10.957430477970744,401770063133.81,2775.4,2.05
SUMICHEM,1.6604508074966888,60882834447.34,497.5,0.43
SWANCORP,1.3481324712118328,49431230173.94,355.3,1.63
TATACHEM,3.4152976982548355,125226838044.49,802.55,-1.64
UPL,9.944291369798606,364621849939.85,652.0,-1.21
