Symbol,WeightPct,FFMC,LastPrice,PChange
ADANIENSOL,1.6099790094510311,480167178696.58,1388.0,-1.37
ADANIGREEN,1.5337084423604248,457419911308.31,1368.2,1.12
ADANIPOWER,3.184920032570879,949884475161.72,230.3,0.52
AMBUJACEM,0.921378640438887,274795994043.23,451.85,1.11
APLAPOLLO,1.1984506180958105,357431152033.75,1970.3,2.9
BPCL,2.0884777228086726,622876726991.39,308.2,-1.86
COALINDIA,3.537128708754388,1054928730622.64,465.95,-0.9
GRASIM,3.761694231565165,1121904133958.7,2955.2,1.39
HINDALCO,5.115517004121298,1525674156634.41,1057.0,1.07
HINDPETRO,1.2793519062934426,381559505930.75,398.45,-0.19
IOC,1.8355162274285346,547432384647.47,146.93,-0.86
JINDALSTEL,1.5530748044150666,463195819798.3,1254.2,-0.8
JSWENERGY,1.0399100946684334,310147333178.77,577.0,1.6
JSWSTEEL,4.013880711074771,1197117332180.98,1280.4,0.56
NHPC,0.8635425628820954,257546709410.14,81.64,-2.41
NMDC,1.0406719783393097,310374560695.77,90.05,0.98
NTPC,6.338934971280209,1890551680011.38,399.9,1.28
OIL,0.8261164944733161,246384595139.05,453.0,0.61
ONGC,3.6834766069876146,1098576167632.88,283.6,1.0
PIDILITIND,1.51515133225963,451885357659.13,1461.1,2.79
PIIND,0.8393729969654121,250338272400.46,3099.0,0.91
RELIANCE,32.418874132193196,9668746758308.72,1435.5,-0.17
SHREECEM,1.1470504777408836,342101349450.02,25650.0,2.7
SRF,1.347116997932072,401770063133.81,2775.4,2.05
TATAPOWER,2.461465065501546,734118102797.55,439.75,-0.79
TATASTEEL,5.999688222484513,1789373246444.87,217.1,0.76
TORNTPOWER,1.0874529504328396,324326722341.96,1711.0,-1.33
ULTRACEMCO,4.799328694903217,1431372772900.31,12121.0,0.23
UPL,1.2225607055939816,364621849939.85,652.0,-1.21
VEDL,1.736207655983376,517814162117.06,305.6,-3.41
