Symbol,WeightPct,FFMC,LastPrice,PChange
ABCAPITAL,0.8175018787349388,303385639037.14,368.85,-0.12
ADANIENT,1.9404746884217254,720135535704.5,2520.0,-0.8
ADANIGREEN,1.2325620884762285,457419911308.31,1368.2,1.12
ADANIPORTS,3.4393180831298396,1276375922361.22,1735.0,-0.76
ADANIPOWER,2.5595553747710365,949884475161.72,230.3,0.52
AMBUJACEM,0.7404643216209542,274795994043.23,451.85,1.11
BAJAJ-AUTO,3.1529170520727416,1170088753990.9,10590.0,2.63
BAJAJFINSV,2.8365887170983703,1052695171727.5,1829.0,-0.39
BAJAJHFL,0.2612163369395383,96940799000.95,87.8,0.95
BAJAJHLDNG,1.233228715808511,457667305429.92,10601.0,-0.1
BAJFINANCE,7.00244854302986,2598700237043.27,973.6,-0.73
CEATLTD,0.18931861562723923,70258614295.27,3364.9,0.23
CESC,0.3157919639479107,117194527960.46,186.4,0.75
CGPOWER,1.58611558743105,588628238780.55,860.35,3.79
CHOLAFIN,1.9449741068350486,721805328724.1,1689.2,-1.33
CHOLAHLDNG,0.4680529304793073,173700564011.44,1757.0,1.4
COROMANDEL,0.6250926687223559,231980064744.6,1968.0,-2.48
FSL,0.20137633347913347,74733391089.04,235.9,-3.09
GODREJCP,1.1203508492463112,415776852856.14,1036.5,-5.26
GODREJIND,0.14228319435377762,52803154299.86,1226.85,20.0
GODREJPROP,0.751164611944713,278767011727.96,1878.5,0.61
GRASIM,3.0230789439557304,1121904133958.7,2955.2,1.39
HINDALCO,4.11107623071535,1525674156634.41,1057.0,1.07
IDEA,0.8331343664053442,309187059663.8,11.23,-0.62
JINDALSTEL,1.2481258312326544,463195819798.3,1254.2,-0.8
JSL,0.6575521544808994,244026204436.55,765.35,-0.12
JSWENERGY,0.8357219160503402,310147333178.77,577.0,1.6
JSWINFRA,0.24652467875910877,91488532502.82,282.45,3.39
JSWSTEEL,3.225748164053028,1197117332180.98,1280.4,0.56
JUBLFOOD,0.5039343790964105,187016638874.93,479.1,1.67
JUBLINGREA,0.17268727858764182,64086507604.08,764.0,2.95
JUBLPHARMA,0.2124817189123346,78854744866.99,982.3,2.7
KEC,0.21339622689705678,79194130740.67,612.35,4.25
LT,12.692378696787182,4710307733830.52,4023.0,0.36
LTF,0.6961520618872784,258351134910.57,303.95,1.22
LTM,1.0596254705165244,393240870602.23,4250.0,-1.53
LTTS,0.28110848198065275,104323034188.54,3795.0,-0.26
M&M,8.082245341057357,2999426951098.99,3366.0,1.98
M&MFIN,0.5813555344724114,215748642200.83,327.0,-0.11
PCBL,0.14431508222283132,53557214462.46,306.0,0.05
SAREGAMA,0.06876837274563838,25520842524.87,350.0,-0.27
TATASTEEL,4.821638873116345,1789373246444.87,217.1,0.76
TCS,6.593726327679361,2447018077383.07,2403.0,-1.33
TECHM,2.473675598469774,918013366982.93,1450.0,-1.14
TIINDIA,0.8666131791549603,321611484933.58,3018.5,3.48
TITAN,4.777783530454164,1773097955213.31,4309.0,-1.16
TMCV,2.4389415007248205,905123089033.92,434.3,1.06
TRENT,2.561290631912944,950528451781.94,4296.0,0.14
ULTRACEMCO,3.8569720528953395,1431372772900.31,12121.0,0.23
ZENSARTECH,0.1591507126059147,59062910927.96,520.0,-0.95
