Symbol,WeightPct,FFMC,LastPrice,PChange
AMBER,4.730962085848892,191690966805.69,8820.0,1.83
BATAINDIA,1.1442984187989107,46365129593.81,728.5,0.49
BLUESTARCO,5.587486725817749,226395966200.98,1750.0,-3.13
CROMPTON,4.600759061135918,186415349872.95,291.0,2.45
DIXON,11.246540485242148,455691713379.81,11075.0,-1.98
HAVELLS,7.8976894083270315,320001659438.71,1272.3,1.19
KAJARIACER,2.239325459744802,90733862284.6,1099.0,-1.06
KALYANKJIL,3.903224360578993,158152366846.68,411.55,-0.99
LGEINDIA,3.294652284774744,133494006144.36,1542.0,-1.65
PGEL,2.1202510665162078,85909159582.36,535.95,-1.57
TITAN,43.76032601011104,1773097955213.31,4309.0,-1.16
VOLTAS,7.642847711079565,309675884164.82,1363.0,-1.2
WHIRLPOOL,1.8316369220240099,74214979120.21,976.4,0.68
