Symbol,WeightPct,FFMC,LastPrice,PChange
ACC,0.8458211541486028,84719198383.99,1416.8,0.2
AMBER,1.9138079429005819,191690966805.69,8820.0,1.83
AMBUJACEM,2.743513504265888,274795994043.23,451.85,1.11
ASIANPAINT,11.415779510403885,1143428116341.34,2536.0,0.67
BAJAJHFL,0.9678394042803684,96940799000.95,87.8,0.95
BERGEPAINT,1.3875271012301316,138977587845.51,489.35,2.28
BLUESTARCO,2.2602963800338354,226395966200.98,1750.0,-3.13
BRIGADE,1.0651059470494493,106683217350.93,769.85,-4.83
CROMPTON,1.8611371376048216,186415349872.95,291.0,2.45
DALBHARAT,1.566959697262298,156949928245.42,1975.0,0.02
DIXON,4.549543648889191,455691713379.81,11075.0,-1.98
DLF,3.9533090025852267,395971616482.4,619.0,1.54
GODREJPROP,2.783159426622462,278767011727.96,1878.5,0.61
GRASIM,11.200887963174617,1121904133958.7,2955.2,1.39
HAVELLS,3.1948386915694327,320001659438.71,1272.3,1.19
JKCEMENT,2.3375665507990107,234135506521.19,5611.0,1.62
KAJARIACER,0.9058704707057725,90733862284.6,1099.0,-1.06
KEI,3.153781773730393,315889313524.47,5133.0,-0.3
LICHSGFIN,1.7614569309459716,176431173949.39,588.5,1.09
LODHA,2.710059020598752,271445123679.29,966.7,1.85
OBEROIRLTY,1.9573754174145117,196054775275.52,1670.3,-0.19
PGEL,0.8577015115338961,85909159582.36,535.95,-1.57
PHOENIXLTD,3.391187987494844,339668411532.19,1825.2,-0.76
PNBHOUSING,1.9657114224883823,196889726806.49,1050.5,-1.37
POLYCAB,4.744646250614122,475233594000.43,9030.0,7.3
PRESTIGE,2.498605430352142,250265494187.59,1487.8,2.24
RAMCOCEM,1.2087178197542496,121067679922.36,961.0,2.79
SHREECEM,3.4154779996394797,342101349450.02,25650.0,2.7
ULTRACEMCO,14.290566883128323,1431372772900.31,12121.0,0.23
VOLTAS,3.091748018779365,309675884164.82,1363.0,-1.2
