Symbol,WeightPct,FFMC,LastPrice,PChange
BEL,19.786376920888905,1574754682901.26,440.9,0.62
COALINDIA,13.25490104294754,1054928730622.64,465.95,-0.9
COCHINSHIP,1.9259041072804406,153278517026.37,1816.0,3.59
NBCC,1.2610192733574699,100361779920.0,97.2,2.38
NHPC,3.2360064221147002,257546709410.14,81.64,-2.41
NLCINDIA,1.3455796775180224,107091758479.1,329.2,2.14
NTPC,23.754282832299673,1890551680011.38,399.9,1.28
OIL,3.095757402632554,246384595139.05,453.0,0.61
ONGC,13.80331956787249,1098576167632.88,283.6,1.0
POWERGRID,17.818533020006857,1418138268965.41,314.0,-0.62
SJVN,0.7183197330813663,57169504453.14,80.15,0.26
