Symbol,WeightPct,FFMC,LastPrice,PChange
ANGELONE,0.49908533775957714,208333905504.32,322.0,1.63
ASHOKLEY,1.16263779835229,485321557040.73,170.1,1.37
BAJAJ-AUTO,2.8030681783677394,1170088753990.9,10590.0,2.63
BANKBARODA,1.1964042004312396,499416714497.2,269.95,-0.13
BANKINDIA,0.40746300429624915,170087863960.56,140.36,-1.39
BPCL,1.4921653819168272,622876726991.39,308.2,-1.86
BRITANNIA,1.6564785746356088,691466217755.95,5885.5,1.77
CANBK,1.0947916476177866,457000441418.69,135.93,-1.53
COALINDIA,2.527190476080068,1054928730622.64,465.95,-0.9
COLPAL,0.6827243349841835,284990594451.43,2170.0,0.6
CUMMINSIND,1.7473801773749416,729411403644.0,5415.0,1.7
GAIL,1.0794663087789842,450603163334.35,167.52,1.11
GODREJCP,0.996036293458809,415776852856.14,1036.5,-5.26
HCLTECH,2.9806952261718687,1244235866303.11,1182.4,-0.56
HDFCAMC,1.3819536131697647,576870870921.39,2839.0,0.82
HEROMOTOCO,1.6598004759416993,692852883763.62,5352.5,3.53
HINDPETRO,0.914065113078183,381559505930.75,398.45,-0.19
HINDUNILVR,4.818594350912999,2011432723456.11,2273.0,-1.9
HINDZINC,0.6594253546908985,275264867824.08,636.75,0.34
HUDCO,0.27258868339634884,113787083513.96,227.37,2.23
INDIANB,0.726031010485212,303068161871.14,860.0,-0.79
INFY,9.765793601934813,4076549174081.88,1165.9,-0.11
IOC,1.3114306859026743,547432384647.47,146.93,-0.86
IRFC,0.5131997986227612,214225725065.51,106.8,0.06
ITC,7.081465364408872,2956026203221.32,307.55,-1.01
M&MFIN,0.5168481035447138,215748642200.83,327.0,-0.11
MAHABANK,0.41637878973769893,173809593013.94,85.6,2.36
MPHASIS,0.7008521654005891,292557720598.48,2217.0,-0.07
NATIONALUM,0.8648216567677219,361003739616.83,403.7,-0.7
NHPC,0.6169796804973833,257546709410.14,81.64,-2.41
NMDC,0.7435342417349187,310374560695.77,90.05,0.98
NTPC,4.529011355527294,1890551680011.38,399.9,1.28
OFSS,0.5408731242862711,225777440929.68,9500.0,0.8
OIL,0.5902396855953895,246384595139.05,453.0,0.61
ONGC,2.6317524089534654,1098576167632.88,283.6,1.0
PAGEIND,0.5614292320046167,234358206339.77,37255.0,-0.76
PFC,1.5898263617983386,663643489335.94,457.05,-1.48
PNB,0.8984908205300888,375058306743.9,109.08,-1.0
POWERGRID,3.3972963509854974,1418138268965.41,314.0,-0.62
RECLTD,1.073723982811138,448206136002.45,359.85,0.21
REDINGTON,0.31939000634702513,133323426610.82,225.02,0.8
SAIL,0.6469932162295189,270075302506.34,187.34,0.7
SBIN,10.834220894185268,4522544304977.05,1092.9,-0.28
SHRIRAMFIN,3.388900575480289,1414633608402.57,1013.0,0.89
TATASTEEL,4.2866279922994615,1789373246444.87,217.1,0.76
TCS,5.862083949792782,2447018077383.07,2403.0,-1.33
TECHM,2.199195614460277,918013366982.93,1450.0,-1.14
UNIONBANK,0.7724581918223872,322448326499.8,167.34,-0.84
VEDL,1.2404771819127947,517814162117.06,305.6,-3.41
WIPRO,1.3476594245246944,562555398764.66,197.39,-0.87
