Symbol,WeightPct,FFMC,LastPrice,PChange
ABB,1.4217142762474761,375958628539.39,7188.0,0.08
ADANIENSOL,1.8157863156128546,480167178696.58,1388.0,-1.37
ADANIGREEN,1.7297659071515183,457419911308.31,1368.2,1.12
ADANIPOWER,3.592055658809723,949884475161.72,230.3,0.52
AEGISLOG,0.3501348248731685,92589777540.0,740.0,0.67
ATGL,0.6746132486917683,178394967265.92,644.9,-0.94
BHEL,2.2376304551728494,591719792900.44,406.5,5.32
BPCL,2.3554526160135185,622876726991.39,308.2,-1.86
CASTROLIND,0.3381815362346104,89428845643.79,185.7,-0.19
CESC,0.44317943744709976,117194527960.46,186.4,0.75
CGPOWER,2.2259395235266863,588628238780.55,860.35,3.79
COALINDIA,3.9892879771815033,1054928730622.64,465.95,-0.9
ENRIN,1.0495571153412648,277545256631.28,3147.0,-1.22
GAIL,1.7039878901664802,450603163334.35,167.52,1.11
GSPL,0.32511435109570813,85973354561.11,300.2,1.28
GVT&D,2.2391617260960497,592124722727.64,4792.1,5.02
HINDPETRO,1.442894392202639,381559505930.75,398.45,-0.19
IGL,0.4496735670431602,118911837899.09,170.0,0.32
INOXWIND,0.3890708727957781,102886039891.93,107.0,-0.1
IOC,2.0701544729993193,547432384647.47,146.93,-0.86
JPPOWER,0.35451776081310404,93748802677.81,19.31,0.0
JSWENERGY,1.1728441850993228,310147333178.77,577.0,1.6
MGL,0.25451222735565376,67303303864.75,1185.0,1.56
NHPC,0.9739311875657433,257546709410.14,81.64,-2.41
NLCINDIA,0.4049750965676565,107091758479.1,329.2,2.14
NTPC,7.14925555478831,1890551680011.38,399.9,1.28
NTPCGREEN,0.38112522099605456,100784888905.84,108.8,0.56
OIL,0.931720859067719,246384595139.05,453.0,0.61
ONGC,4.154343862612709,1098576167632.88,283.6,1.0
PETRONET,0.7957766809023952,210435468345.55,281.6,-0.6
POWERGRID,5.362790662669326,1418138268965.41,314.0,-0.62
POWERINDIA,1.6714140023245654,441989312855.5,34850.0,4.4
RELIANCE,36.56305310271339,9668746758308.72,1435.5,-0.17
RPOWER,0.31784637670476923,84051408829.87,29.21,0.14
SIEMENS,1.2882743381734123,340671723885.72,3865.3,0.61
SJVN,0.21619054458942166,57169504453.14,80.15,0.26
SUZLON,2.54785984834162,673756963896.7,55.66,2.47
TATAPOWER,2.7761197854503763,734118102797.55,439.75,-0.79
THERMAX,0.6136279854972482,162268002590.4,4200.0,3.02
TORNTPOWER,1.226464553063996,324326722341.96,1711.0,-1.33
