Symbol,WeightPct,FFMC,LastPrice,PChange
ARE&M,0.37602481335915655,110123196644.21,902.0,2.38
ASHOKLEY,1.6571708183791698,485321557040.73,170.1,1.37
ATHERENERG,0.5934600281219543,173801603127.0,911.5,1.55
BAJAJ-AUTO,3.9953653611653426,1170088753990.9,10590.0,2.63
BHARATFORG,1.8125385480993184,530822785800.85,1997.0,6.57
BOSCHLTD,1.1132261391507519,326021094023.07,37695.0,2.87
CGPOWER,2.009920074700472,588628238780.55,860.35,3.79
EICHERMOT,3.4403812115012027,1007555254932.93,7342.0,0.43
EXIDEIND,0.5656734734677168,165663990625.0,365.15,3.82
FLUOROCHEM,0.5466467565123956,160091797465.6,3808.0,-0.07
FORCEMOT,0.3392449134802303,99351779431.77,20696.0,2.59
HEROMOTOCO,2.3658037928584466,692852883763.62,5352.5,3.53
HSCL,0.4929044361144242,144352740076.19,616.6,-2.92
HYUNDAI,0.8940243881613117,261825337064.05,1841.4,0.08
JBMA,0.08606862517634435,25206187992.01,627.3,1.44
JWL,0.14035831057591466,41105547525.23,303.5,1.76
KEI,1.0786303320267463,315889313524.47,5133.0,-0.3
KPITTECH,0.40410142118525794,118345754557.65,724.0,-3.29
LTTS,0.3562196762826097,104323034188.54,3795.0,-0.26
M&M,10.24179277246509,2999426951098.99,3366.0,1.98
MARUTI,6.1523350317071,1801782160239.04,13770.0,0.35
MINDACORP,0.14654311306351148,42916838153.8,535.5,1.68
MOTHERSON,1.9741376558535113,578148945374.65,131.0,2.82
MSUMI,0.37136909313553207,108759715364.54,42.9,2.29
OLAELEC,0.2406626073524356,70480815873.89,35.18,1.06
OLECTRA,0.177380967471817,51948058925.52,1273.0,-0.06
RELIANCE,33.01473990948792,9668746758308.72,1435.5,-0.17
SCHAEFFLER,0.5802810471948597,169941986802.11,4234.8,0.98
SONACOMS,0.8838485920957775,258845238008.55,579.0,-0.62
TATACHEM,0.4275974530177468,125226838044.49,802.55,-1.64
TATAELXSI,0.5028479388858667,147264809365.58,4291.3,0.23
TATATECH,0.36783988241480964,107726145364.93,628.9,0.19
TIINDIA,1.0981691621886733,321611484933.58,3018.5,3.48
TMCV,3.09061806224763,905123089033.92,434.3,1.06
TMPV,2.557310889707205,748937942344.3,358.6,0.13
TVSMOTOR,14.821995231508293,4340791983798.97,3707.1,2.47
UNOMINDA,0.7094713172368035,207776845053.23,1147.0,1.69
ZFCVINDIA,0.3732961526466563,109324076933.11,14515.0,-1.2
