Symbol,WeightPct,FFMC,LastPrice,PChange
360ONE,1.6285978552331282,288644816544.38,1113.0,2.67
ABCAPITAL,1.7117688339587762,303385639037.14,368.85,-0.12
ANGELONE,1.1754659437111685,208333905504.32,322.0,1.63
BAJAJFINSV,5.939538840206677,1052695171727.5,1829.0,-0.39
BAJAJHLDNG,2.58226009722538,457667305429.92,10601.0,-0.1
BAJFINANCE,14.662441138248441,2598700237043.27,973.6,-0.73
BSE,9.153031244744882,1622239041992.46,3981.0,3.35
CAMS,1.1295871845707053,200202575862.18,835.0,2.35
CDSL,1.2729081222406897,225604086510.0,1270.0,-1.0
CHOLAFIN,4.072585208108773,721805328724.1,1689.2,-1.33
HDFCAMC,3.2548329617573195,576870870921.39,2839.0,0.82
HDFCLIFE,3.7999871029225343,673491357408.84,628.0,3.57
ICICIGI,2.5236163322604335,447273567819.75,1848.0,2.11
ICICIPRULI,1.2521224650394611,221920137037.56,564.35,2.59
IRFC,1.2087088919672628,214225725065.51,106.8,0.06
JIOFIN,4.813758333026641,853167272977.01,251.0,-0.57
LICHSGFIN,0.9954636806930529,176431173949.39,588.5,1.09
LICI,1.0119529594728993,179353654065.07,810.25,0.37
LTF,1.4576742075245521,258351134910.57,303.95,1.22
MCX,4.38524303884056,777219292277.32,3055.0,2.75
MFSL,2.551849453337029,452277469812.77,1710.0,3.46
MUTHOOTFIN,2.1597506387491454,382783770038.87,3579.4,1.3
PAYTM,2.831300289385912,501805986042.43,1196.4,7.73
PFC,3.744423254542538,663643489335.94,457.05,-1.48
PNBHOUSING,1.110895357946553,196889726806.49,1050.5,-1.37
POLICYBZR,3.2282355198189823,572156868797.31,1684.0,-1.05
RECLTD,2.52887808807641,448206136002.45,359.85,0.21
SBICARD,1.093011139458979,193720014315.59,648.0,-0.25
SBILIFE,4.738436316339187,839817562599.68,1875.0,0.86
SHRIRAMFIN,7.981675500591918,1414633608402.57,1013.0,0.89
