Symbol,WeightPct,FFMC,LastPrice,PChange
BRITANNIA,6.539953560925802,691466217755.95,5885.5,1.77
COLPAL,2.6954682747361924,284990594451.43,2170.0,0.6
DABUR,2.600694424131256,274970199748.4,467.0,0.16
EMAMILTD,0.843629672151916,89196568929.0,454.0,0.4
GODREJCP,3.9324572040723362,415776852856.14,1036.5,-5.26
HINDUNILVR,19.02432290187799,2011432723456.11,2273.0,-1.9
ITC,27.958378294585746,2956026203221.32,307.55,-1.01
MARICO,4.15292185985159,439086477345.12,832.0,2.11
NESTLEIND,9.977797717967436,1054947865501.39,1475.5,-0.71
PATANJALI,1.5038008050788694,158996152688.13,460.5,0.1
RADICO,2.521392772970625,266585673424.32,3414.9,1.72
TATACONSUM,7.101734718942057,750863075687.93,1156.4,0.36
UBL,0.973130354383138,102888615226.43,1429.0,1.15
UNITDSPR,3.5714677302641475,377609605370.59,1282.0,-0.64
VBL,6.602849708060895,698116197846.14,511.5,0.5
