Symbol,WeightPct,FFMC,LastPrice,PChange
APOLLOHOSP,2.9462385265532336,805002923968.83,7845.0,1.09
CIPLA,2.7945118976647207,763546545336.08,1361.0,-0.25
DIVISLAB,3.1007137249610603,847210296277.02,6685.5,-0.25
EICHERMOT,3.6875618973894624,1007555254932.93,7342.0,0.43
HINDUNILVR,7.36166342626322,2011432723456.11,2273.0,-1.9
INFY,14.91980448077708,4076549174081.88,1165.9,-0.11
M&M,10.977633717579044,2999426951098.99,3366.0,1.98
MARUTI,6.594361161796375,1801782160239.04,13770.0,0.35
NESTLEIND,3.8610146029303642,1054947865501.39,1475.5,-0.71
PERSISTENT,1.9812737691165292,541344892121.63,4989.5,-0.49
SUNPHARMA,7.083220395534523,1935353528959.4,1833.0,-0.93
TCS,8.955866767804904,2447018077383.07,2403.0,-1.33
TECHM,3.3598466156635816,918013366982.93,1450.0,-1.14
TITAN,6.489379543178514,1773097955213.31,4309.0,-1.16
TVSMOTOR,15.886909472787409,4340791983798.97,3707.1,2.47
