Symbol,WeightPct,FFMC,LastPrice,PChange
ABBOTINDIA,1.3387774630919718,138273527034.63,26625.0,1.24
ALKEM,3.136956576936395,323995631839.88,5552.5,-0.08
APOLLOHOSP,7.7941150084549395,805002923968.83,7845.0,1.09
AUROPHARMA,3.993562714849493,412468851052.28,1479.7,-0.29
BIOCON,2.6343269559486413,272082321075.34,382.3,0.45
CIPLA,7.392730400676522,763546545336.08,1361.0,-0.25
DIVISLAB,8.202770808551694,847210296277.02,6685.5,-0.25
DRREDDY,7.687043353168941,793944196263.9,1306.5,-0.34
FORTIS,4.7597191220398845,491600111924.96,946.0,-1.14
GLENMARK,3.445310756196708,355843508815.43,2370.0,-0.32
IPCALAB,2.0878167722484275,215636875328.11,1557.0,-0.47
LAURUSLABS,4.522888085766089,467139390408.77,1204.0,2.24
LUPIN,5.767448878411554,595681896652.23,2462.0,0.78
MANKIND,2.597570314809157,268285969140.52,2377.7,0.71
MAXHEALTH,7.282545444181481,752166265206.82,1013.6,-0.23
PPLPHARMA,1.0984293615404899,113449550956.6,183.6,11.14
SUNPHARMA,18.738277262844775,1935353528959.4,1833.0,-0.93
SYNGENE,0.853377730611074,88139778236.09,465.8,3.49
TORNTPHARM,4.394909610124477,453921334608.36,4352.0,-0.14
ZYDUSLIFE,2.2714233795472514,234600395314.05,940.45,0.18
