Symbol,WeightPct,FFMC,LastPrice,PChange
ABCAPITAL,1.4144850099522521,303385639037.14,368.85,-0.12
ADANIENSOL,2.238699493795853,480167178696.58,1388.0,-1.37
ADANIENT,3.3575119890999585,720135535704.5,2520.0,-0.8
ADANIGREEN,2.132644148393875,457419911308.31,1368.2,1.12
ADANIPORTS,5.950890144219743,1276375922361.22,1735.0,-0.76
ADANIPOWER,4.428678152225044,949884475161.72,230.3,0.52
AMBER,0.8937272045916128,191690966805.69,8820.0,1.83
ANGELONE,0.9713221342180759,208333905504.32,322.0,1.63
APARINDS,1.0052871495232005,215618887530.11,12800.0,3.36
BANDHANBNK,0.8624484294116302,184982142654.49,208.15,-0.35
BHEL,2.7587949772641074,591719792900.44,406.5,5.32
BSE,7.563419332372325,1622239041992.46,3981.0,3.35
CARTRADE,0.3783778413156694,81156323592.94,1925.0,6.51
CDSL,1.051841476627378,225604086510.0,1270.0,-1.0
COFORGE,2.005284660620924,430103227629.39,1284.0,0.28
DLF,1.8461517086257033,395971616482.4,619.0,1.54
GODREJPROP,1.2997047606136427,278767011727.96,1878.5,0.61
HINDCOPPER,0.8670261721979822,185963999238.91,568.25,3.22
HUDCO,0.5305133244523093,113787083513.96,227.37,2.23
IDEA,1.4415331673366356,309187059663.8,11.23,-0.62
IIFL,0.502698075505922,107821133350.33,465.0,2.15
INOXWIND,0.47968902424767956,102886039891.93,107.0,-0.1
IREDA,0.5016076465573285,107587252834.76,135.61,-0.59
IRFC,0.9987917615778155,214225725065.51,106.8,0.06
JIOFIN,3.9777503063026924,853167272977.01,251.0,-0.57
JSWENERGY,1.4460102826565635,310147333178.77,577.0,1.6
KALYANKJIL,0.7373590684881193,158152366846.68,411.55,-0.99
KAYNES,0.6370072838657357,136628426973.18,4380.0,1.73
KPITTECH,0.5517673688990654,118345754557.65,724.0,-3.29
LODHA,1.2655676771239248,271445123679.29,966.7,1.85
LTF,1.2045191354308546,258351134910.57,303.95,1.22
MAZDOCK,0.9494308874494727,203638564200.96,2688.0,1.64
MCX,3.6236554962226957,777219292277.32,3055.0,2.75
MOTHERSON,2.695523161042023,578148945374.65,131.0,2.82
MOTILALOFS,0.6443503098530854,138203394976.35,890.0,0.94
NATIONALUM,1.6831198070064248,361003739616.83,403.7,-0.7
NAUKRI,1.7482317209573432,374969260272.01,984.05,0.27
NBCC,0.4679200825705147,100361779920.0,97.2,2.38
PFC,3.0941272322490465,663643489335.94,457.05,-1.48
POLICYBZR,2.6675861020433413,572156868797.31,1684.0,-1.05
PRESTIGE,1.1668211823081802,250265494187.59,1487.8,2.24
RECLTD,2.0896864556811634,448206136002.45,359.85,0.21
RPOWER,0.39187569402606165,84051408829.87,29.21,0.14
RVNL,0.8155156348610908,174915768132.08,309.0,1.28
SAIL,1.2591811140631208,270075302506.34,187.34,0.7
SHRIRAMFIN,6.595493577120645,1414633608402.57,1013.0,0.89
TATAPOWER,3.4227033792281834,734118102797.55,439.75,-0.79
TATASTEEL,8.342654722677956,1789373246444.87,217.1,0.76
VEDL,2.414222283494119,517814162117.06,305.6,-3.41
WOCKPHARMA,0.6267922496318853,134437456643.33,1632.0,-4.94
