Symbol,WeightPct,FFMC,LastPrice,PChange
ADANIENSOL,0.8045822858536142,480167178696.58,1388.0,-1.37
ADANIGREEN,0.7664662937488252,457419911308.31,1368.2,1.12
ADANIPOWER,1.5916544408492717,949884475161.72,230.3,0.52
AMBUJACEM,0.4604562719819503,274795994043.23,451.85,1.11
ASIANPAINT,1.915961874055013,1143428116341.34,2536.0,0.67
AXISBANK,6.2158887630824635,3709584243822.28,1296.0,0.14
BANKBARODA,0.8368373757540231,499416714497.2,269.95,-0.13
BLUESTARCO,0.37935575790182485,226395966200.98,1750.0,-3.13
CANBK,0.7657634176306504,457000441418.69,135.93,-1.53
CROMPTON,0.31236305806265147,186415349872.95,291.0,2.45
DIXON,0.7635704743313164,455691713379.81,11075.0,-1.98
DLF,0.6635017186876069,395971616482.4,619.0,1.54
FEDERALBNK,1.2192547278854649,727639811483.18,296.3,1.13
GODREJPROP,0.46711022632888854,278767011727.96,1878.5,0.61
GRASIM,1.8798956543831336,1121904133958.7,2955.2,1.39
HAVELLS,0.5362042181372046,320001659438.71,1272.3,1.19
HDFCBANK,20.349082453214464,12144141975805.07,795.55,-0.13
ICICIBANK,15.299254161180354,9130451708791.97,1279.0,-0.04
IDFCFIRSTB,0.7839347431381887,467844918429.36,70.81,1.75
INDIANB,0.5078299502053654,303068161871.14,860.0,-0.79
INDUSINDBK,1.0454260517111438,623900484278.59,950.0,0.34
JINDALSTEL,0.7761445763594199,463195819798.3,1254.2,-0.8
JKCEMENT,0.39232435991913545,234135506521.19,5611.0,1.62
JSL,0.4088975050454426,244026204436.55,765.35,-0.12
JSWENERGY,0.5196920184294025,310147333178.77,577.0,1.6
JSWSTEEL,2.0059251075338307,1197117332180.98,1280.4,0.56
KEI,0.5293134500408062,315889313524.47,5133.0,-0.3
KOTAKBANK,4.680096832123056,2793037991786.2,380.45,1.02
LICHSGFIN,0.2956332784289238,176431173949.39,588.5,1.09
LODHA,0.45484145477529225,271445123679.29,966.7,1.85
LT,7.892730556567527,4710307733830.52,4023.0,0.36
NHPC,0.43155286192984205,257546709410.14,81.64,-2.41
NTPC,3.1678641517252477,1890551680011.38,399.9,1.28
OBEROIRLTY,0.328515163555926,196054775275.52,1670.3,-0.19
PETRONET,0.35261187698363694,210435468345.55,281.6,-0.6
PHOENIXLTD,0.5691584079625934,339668411532.19,1825.2,-0.76
PNB,0.6284587601083832,375058306743.9,109.08,-1.0
POLYCAB,0.7963154258340353,475233594000.43,9030.0,7.3
PRESTIGE,0.41935224296322726,250265494187.59,1487.8,2.24
RVNL,0.2930940197486515,174915768132.08,309.0,1.28
SAIL,0.4525461420187341,270075302506.34,187.34,0.7
SBIN,7.578108617607181,4522544304977.05,1092.9,-0.28
SHREECEM,0.5732351104906197,342101349450.02,25650.0,2.7
TATAPOWER,1.2301099438714684,734118102797.55,439.75,-0.79
TATASTEEL,2.9983265844575113,1789373246444.87,217.1,0.76
TORNTPOWER,0.5434514210938992,324326722341.96,1711.0,-1.33
ULTRACEMCO,2.3984504327325036,1431372772900.31,12121.0,0.23
UNIONBANK,0.5403039256225811,322448326499.8,167.34,-0.84
VOLTAS,0.518902044557517,309675884164.82,1363.0,-1.2
YESBANK,0.6596498093901879,393672833060.92,22.48,1.58
