Symbol,WeightPct,FFMC,LastPrice,PChange
ADANIPOWER,2.415555224008441,949884475161.72,230.3,0.52
APOLLOHOSP,2.0471215912902636,805002923968.83,7845.0,1.09
ASIANPAINT,2.9077365005215148,1143428116341.34,2536.0,0.67
BAJAJ-AUTO,2.9755344741001712,1170088753990.9,10590.0,2.63
BHARTIARTL,14.24119888049552,5600159164163.2,1829.6,-0.22
BRITANNIA,1.7583978664788422,691466217755.95,5885.5,1.77
DIXON,1.1588235491527032,455691713379.81,11075.0,-1.98
DLF,1.0069554053826213,395971616482.4,619.0,1.54
DMART,1.6418421690324174,645632263559.58,4387.9,-1.0
EICHERMOT,2.562211956476112,1007555254932.93,7342.0,0.43
ETERNAL,4.7055077348416425,1850377379351.46,257.6,0.61
GODREJCP,1.057320100707455,415776852856.14,1036.5,-5.26
HAVELLS,0.8137638843049247,320001659438.71,1272.3,1.19
HEROMOTOCO,1.7619241566818817,692852883763.62,5352.5,3.53
HINDUNILVR,5.115071305969837,2011432723456.11,2273.0,-1.9
INDHOTEL,1.4854828834664764,584146085793.79,667.1,0.14
INDIGO,2.5931915476651892,1019737560857.83,4520.0,0.0
ITC,7.517171534234644,2956026203221.32,307.55,-1.01
M&M,7.62753959056479,2999426951098.99,3366.0,1.98
MARUTI,4.581930143609977,1801782160239.04,13770.0,0.35
MAXHEALTH,1.9127580234785089,752166265206.82,1013.6,-0.23
NAUKRI,0.953546435568838,374969260272.01,984.05,0.27
NESTLEIND,2.682731315441897,1054947865501.39,1475.5,-0.71
TATACONSUM,1.9094440138988793,750863075687.93,1156.4,0.36
TATAPOWER,1.866861565402339,734118102797.55,439.75,-0.79
TITAN,4.508986240316226,1773097955213.31,4309.0,-1.16
TRENT,2.4171928558781977,950528451781.94,4296.0,0.14
TVSMOTOR,11.03862946177155,4340791983798.97,3707.1,2.47
UNITDSPR,0.9602608303850858,377609605370.59,1282.0,-0.64
VBL,1.7753087588730736,698116197846.14,511.5,0.5
