Symbol,WeightPct,FFMC,LastPrice,PChange
INDHOTEL,5.313857553842213,584146085793.79,667.1,0.14
TATACONSUM,6.830447937049107,750863075687.93,1156.4,0.36
TATAPOWER,6.678122341027157,734118102797.55,439.75,-0.79
TATASTEEL,16.277562708210684,1789373246444.87,217.1,0.76
TCS,22.260023324851502,2447018077383.07,2403.0,-1.33
TITAN,16.1295097102448,1773097955213.31,4309.0,-1.16
TMCV,8.233719750572408,905123089033.92,434.3,1.06
TMPV,6.812935392483649,748937942344.3,358.6,0.13
TRENT,8.646763055477278,950528451781.94,4296.0,0.14
VOLTAS,2.817058226241201,309675884164.82,1363.0,-1.2
