Symbol,WeightPct,FFMC,LastPrice,PChange
AEQUS,0.35254681458426435,16558234748.12,203.7,8.6
APOLLO,0.8874777428288098,41682591337.04,314.1,0.43
ASTRAMICRO,2.1000418000107204,98633666982.49,1168.8,7.41
AXISCADES,0.8152277645997069,38289192076.08,2146.9,-0.44
BDL,2.882632797903673,135389992437.19,1473.1,5.11
BEL,33.528619182762,1574754682901.26,440.9,0.62
BEML,1.6359952430074358,76838570538.41,2015.0,6.17
BHARATFORG,11.301922281545291,530822785800.85,1997.0,6.57
COCHINSHIP,3.2635032504284345,153278517026.37,1816.0,3.59
DATAPATTNS,2.6622527190657395,125039295938.88,4235.0,1.52
DYNAMATECH,1.027120095234366,48241240447.62,12412.0,0.23
GRSE,1.9255135013577764,90436512960.0,3096.0,2.48
HAL,19.315087184813205,907180931881.88,4795.0,3.63
MAZDOCK,4.3357355556100465,203638564200.96,2688.0,1.64
MIDHANI,0.4302706339730463,20208726523.17,414.9,4.51
MTARTECH,3.0522367315526577,143355861454.83,6715.0,6.82
PARAS,0.659019604592512,30952488761.88,874.0,8.56
SOLARINDS,8.239034562831748,386966674341.16,15930.0,1.21
ZENTEC,1.5857625332985694,74479266851.68,1620.0,3.37
