Symbol,WeightPct,FFMC,LastPrice,PChange
AFFLE,0.400413588037606,93847896211.09,1484.0,3.47
BHARTIARTL,23.893767628637434,5600159164163.2,1829.6,-0.22
BHARTIHEXA,0.4851150297229133,113700000000.0,1516.0,0.17
BLS,0.1510567668987384,35404292475.12,292.75,2.11
BSOFT,0.25803433019223193,60477415757.69,365.65,-1.84
CARTRADE,0.34626343299904533,81156323592.94,1925.0,6.51
COFORGE,1.8350883030374008,430103227629.39,1284.0,0.28
CYIENT,0.3223708093720553,75556432556.91,894.7,-0.67
ETERNAL,7.89486259791284,1850377379351.46,257.6,0.61
FIRSTCRY,0.22494358554216087,52721693019.39,238.8,-0.44
HCLTECH,5.3086853057515215,1244235866303.11,1182.4,-0.56
HEXT,0.2909018232794865,68180813374.86,461.0,0.36
IDEA,1.319184605441904,309187059663.8,11.23,-0.62
IKS,0.357126843282944,83702461464.58,1695.7,1.81
INDIAMART,0.27219419245533677,63796167477.74,2091.2,1.67
INFY,17.393098273981078,4076549174081.88,1165.9,-0.11
INTELLECT,0.2936556390071925,68826245548.79,790.0,0.71
IRCTC,0.7315400788899663,171456462640.0,569.95,-0.49
ITI,0.12434551086557637,29143777700.5,304.0,0.63
KPITTECH,0.5049367127512311,118345754557.65,724.0,-3.29
LATENTVIEW,0.09569931396500689,22429756513.7,310.9,2.3
LTM,1.6778105244543984,393240870602.23,4250.0,-1.53
LTTS,0.44510705216497864,104323034188.54,3795.0,-0.26
MAPMYINDIA,0.07154305057511223,16768074275.16,970.3,1.87
MEESHO,0.2404284298376295,56350990584.96,198.2,0.98
MPHASIS,1.248233485697444,292557720598.48,2217.0,-0.07
NAUKRI,1.599852452436543,374969260272.01,984.05,0.27
NETWEB,0.3043912331390503,71342426202.87,4320.0,-1.11
NEWGEN,0.13500014681070452,31640983585.16,499.05,1.22
NYKAA,1.5692638090430227,367799973524.02,269.7,-0.97
OFSS,0.9633072116742745,225777440929.68,9500.0,0.8
PAYTM,2.1410169378549626,501805986042.43,1196.4,7.73
PERSISTENT,2.309714542057448,541344892121.63,4989.5,-0.49
PINELABS,0.15219258055580953,35670501528.43,202.1,1.48
POLICYBZR,2.4411776289602116,572156868797.31,1684.0,-1.05
PWL,0.21628069289196064,50691306752.26,109.95,1.62
RAILTEL,0.12948507151330813,30348374568.96,348.25,1.49
SAGILITY,0.4215659286934713,98805526845.51,43.03,2.82
SONATSOFTW,0.22450132314282858,52618036707.54,271.0,0.44
SWIGGY,1.6338340399063067,382933776435.36,279.85,0.0
TATACOMM,0.7985036746234936,187151216190.0,1598.0,0.44
TATAELXSI,0.6283234157653693,147264809365.58,4291.3,0.23
TATATECH,0.4596268444207818,107726145364.93,628.9,0.19
TBOTEK,0.1837807307902905,43074050092.39,1265.0,-1.0
TCS,10.440503494654301,2447018077383.07,2403.0,-1.33
TECHM,3.916816902462232,918013366982.93,1450.0,-1.14
TEJASNET,0.18622732003839843,43647475322.42,532.2,14.9
TTML,0.09580331056508172,22454130966.57,44.8,3.08
URBANCO,0.2102128452887483,49269140399.51,146.49,0.29
WIPRO,2.4002117765391677,562555398764.66,197.39,-0.87
ZENSARTECH,0.2519991714189894,59062910927.96,520.0,-0.95
