Symbol,WeightPct,FFMC,LastPrice,PChange
ABB,0.9225099433067133,375958628539.39,7188.0,0.08
ABREL,0.20308943719908218,82766832850.08,1586.0,2.34
ACC,0.20788006170209872,84719198383.99,1416.8,0.2
ACE,0.091343126303797,37225871374.98,907.0,2.19
ADANIENSOL,1.1782120775310698,480167178696.58,1388.0,-1.37
ADANIGREEN,1.122395881929279,457419911308.31,1368.2,1.12
ADANIPORTS,3.131912371182982,1276375922361.22,1735.0,-0.76
ADANIPOWER,2.3307827159965178,949884475161.72,230.3,0.52
AEGISLOG,0.2271925258400007,92589777540.0,740.0,0.67
AFCONS,0.12727639445782418,51870073653.93,337.0,0.21
AMBUJACEM,0.6742817364522119,274795994043.23,451.85,1.11
ANANTRAJ,0.20778044384866043,84678600239.95,556.5,-0.03
ASHOKLEY,1.1908596533893931,485321557040.73,170.1,1.37
ATGL,0.437737343010454,178394967265.92,644.9,-0.94
BDL,0.33221371918703707,135389992437.19,1473.1,5.11
BEL,3.864060412415876,1574754682901.26,440.9,0.62
BEML,0.18854294055318055,76838570538.41,2015.0,6.17
BHARTIARTL,13.741412274833559,5600159164163.2,1829.6,-0.22
BHARTIHEXA,0.2789918160981476,113700000000.0,1516.0,0.17
BHEL,1.4519347374011746,591719792900.44,406.5,5.32
BLUEDART,0.08213466093900569,33473064118.41,5675.0,0.5
BRIGADE,0.2617743584514457,106683217350.93,769.85,-4.83
CESC,0.2875665276381168,117194527960.46,186.4,0.75
CGPOWER,1.4443488244858378,588628238780.55,860.35,3.79
COCHINSHIP,0.3761077557961109,153278517026.37,1816.0,3.59
CONCOR,0.445374252674718,181507304541.51,527.25,0.58
CUMMINSIND,1.789796061436575,729411403644.0,5415.0,1.7
DALBHARAT,0.3851164953180623,156949928245.42,1975.0,0.02
DATAPATTNS,0.3068156574988731,125039295938.88,4235.0,1.52
DELHIVERY,0.6612691864934523,269492874579.0,483.9,2.74
DLF,0.9716168901120844,395971616482.4,619.0,1.54
ELECON,0.12156743973482718,49543452891.06,565.5,1.41
ELGIEQUIP,0.29464189199615093,120078013715.56,559.1,1.93
ENGINERSIN,0.17538220916036334,71475061385.02,261.7,-0.25
ENRIN,0.6810277501933797,277545256631.28,3147.0,-1.22
GAIL,1.105669260142661,450603163334.35,167.52,1.11
GESHIP,0.3782156703142636,154137574055.59,1559.7,-0.98
GMRAIRPORT,0.8792208843336112,358316655831.81,100.7,1.48
GODREJPROP,0.6840256365016463,278767011727.96,1878.5,0.61
GRASIM,2.752876621118357,1121904133958.7,2955.2,1.39
GRSE,0.22190894452325474,90436512960.0,3096.0,2.48
GSPL,0.21095745228719476,85973354561.11,300.2,1.28
GVT&D,1.4529283355355884,592124722727.64,4792.1,5.02
HAL,2.225998731005591,907180931881.88,4795.0,3.63
HFCL,0.36832039653621,150104865697.69,147.0,3.92
IDEA,0.7586689471385214,309187059663.8,11.23,-0.62
IGL,0.2917803835623189,118911837899.09,170.0,0.32
INDIGO,2.5021849960177778,1019737560857.83,4520.0,0.0
INDUSTOWER,1.277301481885987,520549959212.23,403.3,-1.22
INOXWIND,0.25245701953030797,102886039891.93,107.0,-0.1
IRB,0.2106631400374159,85853410889.4,21.7,-0.6
IRCON,0.12908146480633567,52605709922.75,161.89,1.71
JKCEMENT,0.5745109074530034,234135506521.19,5611.0,1.62
JPPOWER,0.23003648826832981,93748802677.81,19.31,0.0
JSWENERGY,0.7610252220012518,310147333178.77,577.0,1.6
JSWINFRA,0.22449034155774988,91488532502.82,282.45,3.39
JWL,0.10086289670864236,41105547525.23,303.5,1.76
KEC,0.19432290553785106,79194130740.67,612.35,4.25
KIRLOSENG,0.3522782056676949,143567049903.45,1729.8,1.21
KPIL,0.36356288299896256,148165994168.23,1308.5,2.2
LODHA,0.6660595252970222,271445123679.29,966.7,1.85
LT,11.557935875483965,4710307733830.52,4023.0,0.36
MAZDOCK,0.4996789169221201,203638564200.96,2688.0,1.64
MGL,0.1651457429607043,67303303864.75,1185.0,1.56
NAVA,0.24429747253696235,99560707607.57,719.7,2.98
NBCC,0.24626310683134042,100361779920.0,97.2,2.38
NCC,0.17002790872975485,69292976019.67,170.25,0.02
NHPC,0.6319562373653197,257546709410.14,81.64,-2.41
