Symbol,WeightPct,FFMC,LastPrice,PChange
ANGELONE,3.894674003923152,208333905504.32,322.0,1.63
CARTRADE,1.5171674672265214,81156323592.94,1925.0,6.51
CCAVENUE,0.5105899982587379,27312480670.15,14.14,0.43
CRIZAC,0.14318513828067023,7659259552.44,218.2,0.67
ETERNAL,34.59166504541021,1850377379351.46,257.6,0.61
FIRSTCRY,0.985599567906997,52721693019.39,238.8,-0.44
GROWW,2.3706615442119423,126811429566.91,208.2,-1.24
IIFLCAPS,0.7648971121400335,40915877046.6,350.05,5.28
INDIAMART,1.1926300446584266,63796167477.74,2091.2,1.67
IRCTC,3.205272930645379,171456462640.0,569.95,-0.49
IXIGO,0.6779155558996888,36263059557.86,169.5,-0.13
JUSTDIAL,0.22472939083554097,12021224787.29,547.0,1.4
MEESHO,1.0534470497986759,56350990584.96,198.2,0.98
MOTILALOFS,2.5836273186802647,138203394976.35,890.0,0.94
NAUKRI,7.009819293295058,374969260272.01,984.05,0.27
NAZARA,1.1626215507083824,62190953090.96,274.5,0.99
NYKAA,6.875793894709668,367799973524.02,269.7,-0.97
PAYTM,9.380953734446026,501805986042.43,1196.4,7.73
PINELABS,0.6668380486286071,35670501528.43,202.1,1.48
POLICYBZR,10.69612014269442,572156868797.31,1684.0,-1.05
PWL,0.9476427476123293,50691306752.26,109.95,1.62
RTNINDIA,0.2572097982889174,13758666773.53,39.75,7.99
STYL,0.09525228358146923,5095235243.5,265.01,8.55
SWIGGY,7.158711015840822,382933776435.36,279.85,0.0
TBOTEK,0.8052428275292728,43074050092.39,1265.0,-1.0
THOMASCOOK,0.306676270910581,16404727373.83,100.45,3.6
URBANCO,0.9210562238782232,49269140399.51,146.49,0.29
