Symbol,WeightPct,FFMC,LastPrice,PChange
ABB,0.7000986156310222,375958628539.39,7188.0,0.08
AIAENG,0.2894195948752686,155420667220.8,4014.0,2.61
ALKEM,0.6033347185110102,323995631839.88,5552.5,-0.08
ANTHEM,0.09012019890857383,48395276935.13,780.0,1.46
APLAPOLLO,0.6655973177006413,357431152033.75,1970.3,2.9
ASHOKLEY,0.9037509034973736,485321557040.73,170.1,1.37
ASTRAL,0.3587108424577215,192630628545.18,1578.2,0.13
AUROPHARMA,0.7680868310816401,412468851052.28,1479.7,-0.29
BAJAJ-AUTO,2.178903354384988,1170088753990.9,10590.0,2.63
BALKRISIND,0.3387631196597486,181918539793.44,2271.0,1.82
BEL,2.932459823414139,1574754682901.26,440.9,0.62
BHARATFORG,0.9884818947456112,530822785800.85,1997.0,6.57
BHEL,1.1018824317465292,591719792900.44,406.5,5.32
BLUESTARCO,0.4215876175991195,226395966200.98,1750.0,-3.13
BOSCHLTD,0.6071064720041361,326021094023.07,37695.0,2.87
BPCL,1.1599019178509578,622876726991.39,308.2,-1.86
CASTROLIND,0.16653165077214885,89428845643.79,185.7,-0.19
CGPOWER,1.0961254345793354,588628238780.55,860.35,3.79
CIPLA,1.4218529348200137,763546545336.08,1361.0,-0.25
COCHINSHIP,0.2854305485500902,153278517026.37,1816.0,3.59
COROMANDEL,0.43198615446772065,231980064744.6,1968.0,-2.48
CROMPTON,0.34713694133170087,186415349872.95,291.0,2.45
CUMMINSIND,1.358287521955736,729411403644.0,5415.0,1.7
DIVISLAB,1.5776490032326687,847210296277.02,6685.5,-0.25
DIXON,0.8485751183080191,455691713379.81,11075.0,-1.98
DRREDDY,1.4784585071290748,793944196263.9,1306.5,-0.34
EICHERMOT,1.8762384624360358,1007555254932.93,7342.0,0.43
ENRIN,0.5168362558864844,277545256631.28,3147.0,-1.22
ESCORTS,0.20573218181104846,110479848400.19,3337.0,0.6
GVT&D,1.1026364796388513,592124722727.64,4792.1,5.02
HAL,1.68932447967695,907180931881.88,4795.0,3.63
HAVELLS,0.5958972657258704,320001659438.71,1272.3,1.19
HINDALCO,2.841063574238111,1525674156634.41,1057.0,1.07
HINDCOPPER,0.3462964500380624,185963999238.91,568.25,3.22
HINDZINC,0.5125897858607168,275264867824.08,636.75,0.34
HONAUT,0.12553404627261353,67412799879.79,30715.0,1.77
HSCL,0.26880924074680995,144352740076.19,616.6,-2.92
HYUNDAI,0.48756310429104044,261825337064.05,1841.4,0.08
IOC,1.0194117797807858,547432384647.47,146.93,-0.86
JINDALSTEL,0.8625490348943818,463195819798.3,1254.2,-0.8
JSWSTEEL,2.2292351428768895,1197117332180.98,1280.4,0.56
KAYNES,0.2544252620331753,136628426973.18,4380.0,1.73
KEI,0.5882393814189174,315889313524.47,5133.0,-0.3
KPRMILL,0.202613615510667,108805153031.39,981.0,2.69
LAURUSLABS,0.8698926310122828,467139390408.77,1204.0,2.24
LINDEINDIA,0.306711242599645,164706422139.46,7850.0,3.64
LUPIN,1.1092605397112039,595681896652.23,2462.0,0.78
M&M,5.585440781899145,2999426951098.99,3366.0,1.98
MARUTI,3.3552234216639665,1801782160239.04,13770.0,0.35
MAZDOCK,0.37920948227750023,203638564200.96,2688.0,1.64
MOTHERSON,1.0766112161272559,578148945374.65,131.0,2.82
MRF,0.491436141181203,263905189252.01,130395.0,0.05
NAVINFLUOR,0.48112773762718747,258369493028.55,7042.0,-0.01
PAGEIND,0.43641465673410396,234358206339.77,37255.0,-0.76
PIDILITIND,0.8414870395452037,451885357659.13,1461.1,2.79
PIIND,0.46617224514282224,250338272400.46,3099.0,0.91
POLYCAB,0.8849654084377464,475233594000.43,9030.0,7.3
RELIANCE,18.0048433698062,9668746758308.72,1435.5,-0.17
SIEMENS,0.6343884251403418,340671723885.72,3865.3,0.61
SOLARINDS,0.7205974605612817,386966674341.16,15930.0,1.21
SONACOMS,0.4820136553229334,258845238008.55,579.0,-0.62
SRF,0.748163876687029,401770063133.81,2775.4,2.05
SUNPHARMA,3.603955923674536,1935353528959.4,1833.0,-0.93
SUPREMEIND,0.4387841455891675,235630641051.68,3669.3,-1.08
SUZLON,1.2546495329243907,673756963896.7,55.66,2.47
TATASTEEL,3.332115923366789,1789373246444.87,217.1,0.76
TIINDIA,0.5988950333386116,321611484933.58,3018.5,3.48
TMCV,1.6854924279040193,905123089033.92,434.3,1.06
TMPV,1.394649242832461,748937942344.3,358.6,0.13
TORNTPHARM,0.8452783733128318,453921334608.36,4352.0,-0.14
TVSMOTOR,8.0832895640843,4340791983798.97,3707.1,2.47
UNOMINDA,0.3869156618298152,207776845053.23,1147.0,1.69
UPL,0.6789876145772936,364621849939.85,652.0,-1.21
VEDL,0.9642576351038828,517814162117.06,305.6,-3.41
VOLTAS,0.5766689240260069,309675884164.82,1363.0,-1.2
ZYDUSLIFE,0.4368656536064813,234600395314.05,940.45,0.18
