Symbol,WeightPct,FFMC,LastPrice,PChange
360ONE,0.7866070605221734,288644816544.38,1113.0,2.67
ABLBL,0.17414795311707298,63903448750.75,118.55,10.18
ABREL,0.22555393814571206,82766832850.08,1586.0,2.34
AMBER,0.5223910470067064,191690966805.69,8820.0,1.83
ANANTRAJ,0.2307638350181077,84678600239.95,556.5,-0.03
ANGELONE,0.5677459341822647,208333905504.32,322.0,1.63
ATHERENERG,0.4736394361294576,173801603127.0,911.5,1.55
BAJAJ-AUTO,3.1886942795153925,1170088753990.9,10590.0,2.63
BATAINDIA,0.1263529992921559,46365129593.81,728.5,0.49
BHARTIARTL,15.261402547658173,5600159164163.2,1829.6,-0.22
BHARTIHEXA,0.3098521700548878,113700000000.0,1516.0,0.17
BLUESTARCO,0.6169681743099973,226395966200.98,1750.0,-3.13
BRIGADE,0.29073022343555777,106683217350.93,769.85,-4.83
CARTRADE,0.2211650218025431,81156323592.94,1925.0,6.51
CHALET,0.1534095866875277,56293522176.34,790.0,0.23
CROMPTON,0.5080140781853537,186415349872.95,291.0,2.45
DEVYANI,0.1301034228581809,47741344449.37,119.1,-1.57
DIXON,1.2418387534455944,455691713379.81,11075.0,-1.98
DLF,1.0790911578470836,395971616482.4,619.0,1.54
DMART,1.7594596123252866,645632263559.58,4387.9,-1.0
EICHERMOT,2.7457623763515753,1007555254932.93,7342.0,0.43
EIHOTEL,0.1808728423822162,66371141358.2,336.0,0.84
ETERNAL,5.042598473285191,1850377379351.46,257.6,0.61
FIRSTCRY,0.14367573430981195,52721693019.39,238.8,-0.44
FORCEMOT,0.27075078676999564,99351779431.77,20696.0,2.59
GODREJPROP,0.759688333541115,278767011727.96,1878.5,0.61
GROWW,0.3455830838968305,126811429566.91,208.2,-1.24
HAVELLS,0.8720598821306023,320001659438.71,1272.3,1.19
HDFCAMC,1.572072921692575,576870870921.39,2839.0,0.82
HEROMOTOCO,1.8881439715298556,692852883763.62,5352.5,3.53
HYUNDAI,0.7135193391789652,261825337064.05,1841.4,0.08
ICICIAMC,0.31155749033510954,114325765879.99,3284.5,-0.26
IDEA,0.8425882268225021,309187059663.8,11.23,-0.62
INDHOTEL,1.5918991408291512,584146085793.79,667.1,0.14
INDIAMART,0.17385559308850304,63796167477.74,2091.2,1.67
INDIGO,2.778961267531019,1019737560857.83,4520.0,0.0
IRCTC,0.46724852259400873,171456462640.0,569.95,-0.49
ITCHOTELS,0.5069992569185714,186042962040.35,166.5,-1.53
JUBLFOOD,0.5096526947385079,187016638874.93,479.1,1.67
KALYANKJIL,0.43099255995391816,158152366846.68,411.55,-0.99
KPRMILL,0.2965128652588421,108805153031.39,981.0,2.69
LEMONTREE,0.16489985611034766,60509867129.3,122.1,0.07
LENSKART,0.3917379231474813,143747910024.25,492.4,-2.16
LGEINDIA,0.3637942611534782,133494006144.36,1542.0,-1.65
LODHA,0.7397349219247619,271445123679.29,966.7,1.85
M&M,8.173957341417221,2999426951098.99,3366.0,1.98
MARUTI,4.910168094250221,1801782160239.04,13770.0,0.35
MOTILALOFS,0.37662816044305036,138203394976.35,890.0,0.94
NAM-INDIA,0.537633896749623,197284318033.35,1109.7,1.42
NAUKRI,1.0218561037744796,374969260272.01,984.05,0.27
NUVAMA,0.308476518782225,113195205892.3,1475.0,4.34
NYKAA,1.002318557102444,367799973524.02,269.7,-0.97
OBEROIRLTY,0.5342831800241269,196054775275.52,1670.3,-0.19
OLAELEC,0.1920724164095321,70480815873.89,35.18,1.06
PAGEIND,0.6386666561525849,234358206339.77,37255.0,-0.76
PAYTM,1.3675081242021079,501805986042.43,1196.4,7.73
PGEL,0.23411732211245298,85909159582.36,535.95,-1.57
PHOENIXLTD,0.9256551839256442,339668411532.19,1825.2,-0.76
POLICYBZR,1.55922645038396,572156868797.31,1684.0,-1.05
PRESTIGE,0.6820167674923805,250265494187.59,1487.8,2.24
PVRINOX,0.20684793379402241,75902679875.42,1067.1,-0.17
PWL,0.13814258047586409,50691306752.26,109.95,1.62
SAPPHIRE,0.11997352399910834,44024186360.49,186.54,-0.35
SAREGAMA,0.06954871097590176,25520842524.87,350.0,-0.27
SOBHA,0.17545972914531405,64384803889.83,1450.0,-0.12
SWIGGY,1.0435607881777447,382933776435.36,279.85,0.0
TATACOMM,0.5100194412038959,187151216190.0,1598.0,0.44
TITAN,4.831998673199019,1773097955213.31,4309.0,-1.16
TMPV,2.040985458855091,748937942344.3,358.6,0.13
TRENT,2.590354472150808,950528451781.94,4296.0,0.14
TVSMOTOR,11.829409111143116,4340791983798.97,3707.1,2.47
VMM,0.7242612092064776,265767057471.92,125.11,0.73
VOLTAS,0.8439203581542265,309675884164.82,1363.0,-1.2
WHIRLPOOL,0.20224865726451413,74214979120.21,976.4,0.68
ZEEL,0.23559102201864135,86449932555.82,94.42,-0.12
