Symbol,WeightPct,FFMC,LastPrice,PChange
BEL,21.225412338217204,1574754682901.26,440.9,0.62
BEML,1.0356726421363518,76838570538.41,2015.0,6.17
BHEL,7.975525794187353,591719792900.44,406.5,5.32
BPCL,8.395476139759078,622876726991.39,308.2,-1.86
CONCOR,2.4464555801123957,181507304541.51,527.25,0.58
HINDPETRO,5.142869510332746,381559505930.75,398.45,-0.19
IRCON,0.7090487785677692,52605709922.75,161.89,1.71
IRCTC,2.31098478836168,171456462640.0,569.95,-0.49
IRFC,2.887452501231336,214225725065.51,106.8,0.06
ITI,0.3928159131724511,29143777700.5,304.0,0.63
MRPL,0.36885484840700294,27366059635.69,155.75,-0.66
NTPC,25.48189847641614,1890551680011.38,399.9,1.28
ONGC,14.807215622935452,1098576167632.88,283.6,1.0
RAILTEL,0.4090521342880366,30348374568.96,348.25,1.49
RITES,0.41342980004105995,30673162117.72,229.6,1.4
RVNL,2.357611216128818,174915768132.08,309.0,1.28
SAIL,3.6402239157051284,270075302506.34,187.34,0.7
