Symbol,WeightPct,FFMC,LastPrice,PChange
BLS,1.2138362065640993,35404292475.12,292.75,2.11
CHALET,1.9300234699134156,56293522176.34,790.0,0.23
DEVYANI,1.6368120471103098,47741344449.37,119.1,-1.57
EIHOTEL,2.275534654680146,66371141358.2,336.0,0.84
GMRAIRPORT,12.284886940454074,358316655831.81,100.7,1.48
INDHOTEL,20.027449195813865,584146085793.79,667.1,0.14
INDIGO,34.96170339888709,1019737560857.83,4520.0,0.0
IRCTC,5.878385010746678,171456462640.0,569.95,-0.49
ITCHOTELS,6.3784831587781,186042962040.35,166.5,-1.53
JUBLFOOD,6.411865670125742,187016638874.93,479.1,1.67
LEMONTREE,2.074580861276716,60509867129.3,122.1,0.07
SAPPHIRE,1.5093692779326473,44024186360.49,186.54,-0.35
TBOTEK,1.4767938549327402,43074050092.39,1265.0,-1.0
THELEELA,1.1585970716195417,33793117524.93,420.0,-1.29
TRAVELFOOD,0.7816791811648091,22799450372.31,1253.9,0.33
