Symbol,WeightPct,FFMC,LastPrice,PChange
ADANIGREEN,1.1383615770331232,457419911308.31,1368.2,1.12
ADANIPORTS,3.1764627466924815,1276375922361.22,1735.0,-0.76
AMBUJACEM,0.6838731620727178,274795994043.23,451.85,1.11
APOLLOHOSP,2.0033767122738384,805002923968.83,7845.0,1.09
ASHOKLEY,1.2077992220777634,485321557040.73,170.1,1.37
BHARATFORG,1.3210362046572186,530822785800.85,1997.0,6.57
BHARTIARTL,13.936879134796648,5600159164163.2,1829.6,-0.22
BPCL,1.5501269527316868,622876726991.39,308.2,-1.86
CGPOWER,1.4648941893848066,588628238780.55,860.35,3.79
CUMMINSIND,1.8152552943819418,729411403644.0,5415.0,1.7
DLF,0.9854378059538377,395971616482.4,619.0,1.54
FORTIS,1.2234243959340096,491600111924.96,946.0,-1.14
GAIL,1.1213970248087142,450603163334.35,167.52,1.11
GRASIM,2.792035343543219,1121904133958.7,2955.2,1.39
HINDPETRO,0.9495709962886721,381559505930.75,398.45,-0.19
INDHOTEL,1.4537396449140199,584146085793.79,667.1,0.14
INDIGO,2.537777716360947,1019737560857.83,4520.0,0.0
INDUSTOWER,1.2954706558323728,520549959212.23,403.3,-1.22
IOC,1.3623718104528784,547432384647.47,146.93,-0.86
LT,11.722343535195415,4710307733830.52,4023.0,0.36
MAXHEALTH,1.8718843554556799,752166265206.82,1013.6,-0.23
MOTHERSON,1.4388148153286722,578148945374.65,131.0,2.82
NTPC,4.704935965215988,1890551680011.38,399.9,1.28
ONGC,2.733980020897378,1098576167632.88,283.6,1.0
POWERGRID,3.529260699852616,1418138268965.41,314.0,-0.62
RELIANCE,24.06220091347007,9668746758308.72,1435.5,-0.17
SHREECEM,0.8513731519715099,342101349450.02,25650.0,2.7
SUZLON,1.6767504452632749,673756963896.7,55.66,2.47
TATAPOWER,1.8269686573960942,734118102797.55,439.75,-0.79
ULTRACEMCO,3.5621968497624295,1431372772900.31,12121.0,0.23
