Symbol,WeightPct,FFMC,LastPrice,PChange
ADVANCE,0.08306314079356929,1840867485.78,112.3,-1.43
AEGISVOPAK,1.4024633658724515,31081767262.43,216.0,7.43
AEQUS,0.7471363337124164,16558234748.12,203.7,8.6
AHCL,0.07873559009553821,1744959152.71,13.12,-0.61
ALLTIME,0.17765651088482798,3937270989.28,270.25,2.55
AMAGI,0.5384986333173891,11934350371.78,437.95,-0.64
AMIRCHAND,0.09411814813382267,2085871507.7,132.2,1.01
ANTHEM,2.18367901701692,48395276935.13,780.0,1.46
ARIS,0.29660226469019724,6573378517.36,147.0,7.64
ARSSBL,0.47108280785198237,10440262862.68,588.9,-0.57
ATHERENERG,7.842230438748346,173801603127.0,911.5,1.55
ATLANTAELE,0.6662195718219646,14764935884.2,1618.7,4.99
AYE,0.29634961571047863,6567779243.27,143.0,-1.83
BELRISE,3.070851402025395,68057028010.77,228.0,2.65
BHARATCOAL,0.5206632734609632,11539078368.54,33.42,-0.12
BLUESTONE,1.2537606067272287,27786177043.46,505.1,-0.27
BMWVENTLTD,0.06810236391526979,1509302757.38,64.5,0.73
BRIGHOTEL,0.24626152745431487,5457713668.88,64.66,-1.63
CANHLIFE,1.2941404320157905,28681085504.0,143.68,2.17
CAPILLARY,0.3704370549504834,8209724836.69,550.25,-3.07
CLEANMAX,1.1264243926294555,24964117895.98,1160.0,-1.68
CMPDI,0.7492101379102463,16604194950.0,208.1,3.57
CORONA,0.34029061676307826,7541611431.14,1738.0,-0.45
CPPLUS,2.182215889808266,48362850719.6,2463.9,0.14
CRAMC,0.4818461656392177,10678803269.4,252.0,-1.31
CRIZAC,0.34559910449461106,7659259552.44,218.2,0.67
EBGNG,0.3900871089634594,8645214575.95,445.0,2.56
ELLEN,0.3922925028357149,8694091103.3,291.5,5.14
EMMVEE,1.2345694219297236,27360856886.17,265.35,1.8
EPACKPEB,0.22906918158522244,5076692313.17,212.51,2.6
EUROPRATIK,0.22955893751398954,5087546414.72,278.8,-0.46
EXCELSOFT,0.16857306060845467,3735961140.98,92.88,4.39
FABTECH,0.09026677082252905,2000516256.26,165.9,0.93
FRACTAL,1.7125131810979835,37953173982.28,1105.0,6.67
GANESHCP,0.11934698668098699,2644999758.11,208.3,0.24
GAUDIUMIVF,0.07856967918504137,1741282190.85,119.1,-3.01
GEMAROMA,0.10431203320620558,2311791108.19,166.5,1.36
GKENERGY,0.18408359112122763,4079709656.09,134.45,-0.75
GKSL,0.0780581895850393,1729946421.88,130.79,5.74
GLOBECIVIL,0.03851469985342739,853573053.07,49.49,3.41
GLOTTIS,0.05667707978691612,1256092562.5,58.0,-0.46
GROWW,5.721952128393923,126811429566.91,208.2,-1.24
GSPCROP,0.17032310226829578,3774746031.12,431.4,-0.07
HDBFS,5.735069353917247,127102137018.36,701.95,2.41
HILINFRA,0.0440020356581064,975184853.08,52.51,0.11
ICICIAMC,5.15857727999284,114325765879.99,3284.5,-0.26
IGCL,0.0576069731089928,1276701106.38,70.77,6.85
INDIQUBE,0.3267404106707703,7241308148.81,171.77,-1.59
INNOVISION,0.0903373355217805,2002080129.95,325.9,0.23
IVALUE,0.22371584939170813,4958050336.94,255.0,-0.14
JAINREC,1.2368158475258124,27410642769.53,513.0,10.98
JARO,0.09468887595584798,2098520129.95,415.0,1.42
JSWCEMENT,1.426537249399216,31615299091.56,125.2,-0.05
KALPATARU,0.6459177193240251,14315000813.03,372.55,9.99
KSHINTL,0.30599676607288107,6781581963.26,630.0,7.86
LAXMIINDIA,0.09947119123822601,2204507077.06,137.0,7.24
LENSKART,6.486155565981115,143747910024.25,492.4,-2.16
LGEINDIA,6.023481599365781,133494006144.36,1542.0,-1.65
LOTUSDEV,0.3499381415037013,7755422448.2,146.9,2.18
MBEL,0.24939596284408272,5527179862.19,327.4,1.8
MEESHO,2.542654645688611,56350990584.96,198.2,0.98
MEIL,0.10843106051463688,2403078090.27,345.0,-0.45
MIDWESTLTD,0.3138079354931939,6954695183.81,1388.0,5.48
NEPHROPLUS,0.41534476289563654,9204981440.61,550.0,2.85
OMNI,0.34975902025903977,7751452715.39,430.8,-2.16
OMPOWER,0.05119139707803119,1134517398.84,189.0,-0.88
ORKLAINDIA,0.5606074275410595,12424331367.53,640.0,-0.78
OSWALPUMPS,0.5338553746897617,11831445235.35,430.5,1.91
PACEDIGITK,0.550394120567285,12197981333.68,185.4,2.97
PARKHOSPS,0.4386461098889939,9721392108.99,246.03,0.12
PATELRMART,0.08984211704257997,1991104965.9,209.15,0.37
PINELABS,1.6095150321902654,35670501528.43,202.1,1.48
PNGSREVA,0.11188376119740447,2479597763.91,458.1,3.89
POWERICA,0.4331423570199584,9599416469.62,492.0,2.23
PROSTARM,0.12381400804918029,2743999077.38,171.5,9.44
PWL,2.287279873373886,50691306752.26,109.95,1.62
REGAAL,0.11925502372474646,2642961650.54,88.1,3.26
RSL,0.12499934843795005,2770268907.3,137.5,0.39
RUBICON,0.9725853999195705,21554697098.51,949.85,-5.19
SAATVIKGL,0.4188512318558947,9282692741.16,479.5,0.27
SAIPARENT,0.1990603038734844,4411627559.58,500.0,-1.94
SAMBHV,0.38391571536942676,8508442504.72,129.22,6.49
SCODATUBES,0.13482197056182688,2987960479.28,148.55,-0.32
SEDEMAC,0.7232569824558822,16029014195.06,1976.0,4.52
SHADOWFAX,0.9327042389364311,20670840169.34,170.0,1.62
SHANTIGOLD,0.18690235583345513,4142179871.63,228.9,3.38
SHREEJISPG,0.3091936632646747,6852432451.69,420.45,-1.35
SHRINGARMS,0.23740615414048213,5261458523.07,216.55,3.01
SMARTWORKS,0.3446199024718094,7637558215.98,459.25,-0.44
SOLARWORLD,0.17443704273109328,3865920277.17,213.0,0.64
STUDDS,0.1436380264435267,3183344261.67,481.0,-1.9
STYL,0.2299058708334295,5095235243.5,265.01,8.55
SUDEEPPHRM,0.689291026057926,15276251607.96,674.0,-0.1
TATACAP,6.328457290741948,140252958777.79,325.6,-0.88
TENNIND,2.2507166098171605,49880981951.0,647.15,-0.64
THELEELA,1.5248042026433788,33793117524.93,420.0,-1.29
TRAVELFOOD,1.0287508312901488,22799450372.31,1253.9,0.33
TRUALT,0.3659851920592342,8111061463.63,479.35,-0.05
URBANCO,2.223109255497881,49269140399.51,146.49,0.29
UTLSOLAR,0.4035510759675437,8943606604.6,285.0,-0.4
VIDYAWIRES,0.16400325752245695,3634683945.86,90.0,2.9
VIKRAMSOLR,0.7504905706770206,16632572242.57,225.8,0.0
VIKRAN,0.3140557082717965,6960186390.23,77.1,4.16
VMSTMT,0.034600532899545844,766826240.82,49.5,-1.37
WAKEFIT,0.39055668459864656,8655621436.45,131.1,-2.15
WEWORK,0.8950513082576251,19836365874.62,539.9,-1.0
