Symbol,WeightPct,FFMC,LastPrice,PChange
COFORGE,3.8638749916155337,430103227629.39,1284.0,0.28
HCLTECH,11.177716275178128,1244235866303.11,1182.4,-0.56
INFY,36.62208370916585,4076549174081.88,1165.9,-0.11
LTM,3.5327183522331924,393240870602.23,4250.0,-1.53
MPHASIS,2.628221291095626,292557720598.48,2217.0,-0.07
OFSS,2.0282940271976986,225777440929.68,9500.0,0.8
PERSISTENT,4.863225514573295,541344892121.63,4989.5,-0.49
TCS,21.983029528387306,2447018077383.07,2403.0,-1.33
TECHM,8.247064106458092,918013366982.93,1450.0,-1.14
WIPRO,5.053772204095274,562555398764.66,197.39,-0.87
