Symbol,WeightPct,FFMC,LastPrice,PChange
360ONE,0.1603866194937827,288644816544.38,1113.0,2.67
3MINDIA,0.05126514231786672,92260923300.0,32760.0,0.72
ABB,0.20890288009616978,375958628539.39,7188.0,0.08
ABBOTINDIA,0.07683222526588022,138273527034.63,26625.0,1.24
ABCAPITAL,0.16857741507596558,303385639037.14,368.85,-0.12
ACC,0.04707455341725191,84719198383.99,1416.8,0.2
ADANIENSOL,0.2668067679336644,480167178696.58,1388.0,-1.37
ADANIENT,0.40014612260057864,720135535704.5,2520.0,-0.8
ADANIGREEN,0.2541671599794892,457419911308.31,1368.2,1.12
ADANIPORTS,0.7092232656092045,1276375922361.22,1735.0,-0.76
ADANIPOWER,0.5278070179978104,949884475161.72,230.3,0.52
AIAENG,0.08636010067126777,155420667220.8,4014.0,2.61
AIIL,0.07191881336449467,129430951005.79,490.0,3.3
AJANTPHARM,0.07170567026388844,129047361331.25,3072.0,-0.78
ALKEM,0.1800294380604643,323995631839.88,5552.5,-0.08
AMBUJACEM,0.15269146719026863,274795994043.23,451.85,1.11
ANTHEM,0.02689102461639913,48395276935.13,780.0,1.46
APARINDS,0.11980947686495984,215618887530.11,12800.0,3.36
APLAPOLLO,0.19860801542454593,357431152033.75,1970.3,2.9
APOLLOHOSP,0.4473030183035347,805002923968.83,7845.0,1.09
APOLLOTYRE,0.07366093656741234,132566217737.46,411.0,-0.4
ASHOKLEY,0.2696708183888475,485321557040.73,170.1,1.37
ASIANPAINT,0.6353502980225331,1143428116341.34,2536.0,0.67
ASTRAL,0.10703596098900921,192630628545.18,1578.2,0.13
ATGL,0.09912586020780223,178394967265.92,644.9,-0.94
AUBANK,0.325148508776615,585163724765.35,1037.0,1.27
AUROPHARMA,0.22918992781077127,412468851052.28,1479.7,-0.29
AWL,0.06517485055610384,117293966550.64,211.23,1.65
AXISBANK,2.0612449713004892,3709584243822.28,1296.0,0.14
BAJAJ-AUTO,0.6501643854444151,1170088753990.9,10590.0,2.63
BAJAJFINSV,0.584934183028509,1052695171727.5,1829.0,-0.39
BAJAJHFL,0.053865533526385304,96940799000.95,87.8,0.95
BAJAJHLDNG,0.2543046254892554,457667305429.92,10601.0,-0.1
BAJFINANCE,1.4439779348435937,2598700237043.27,973.6,-0.73
BALKRISIND,0.10108374704254884,181918539793.44,2271.0,1.82
BANKBARODA,0.2775028476722427,499416714497.2,269.95,-0.13
BANKINDIA,0.09450998581628178,170087863960.56,140.36,-1.39
BDL,0.07522997800638143,135389992437.19,1473.1,5.11
BEL,0.8750185890959988,1574754682901.26,440.9,0.62
BERGEPAINT,0.077223439404859,138977587845.51,489.35,2.28
BHARATFORG,0.2949537538353147,530822785800.85,1997.0,6.57
BHARTIARTL,3.111750308632907,5600159164163.2,1829.6,-0.22
BHARTIHEXA,0.06317784900751633,113700000000.0,1516.0,0.17
BHEL,0.3287914136378437,591719792900.44,406.5,5.32
BIOCON,0.15118360420855242,272082321075.34,382.3,0.45
BLUESTARCO,0.1257978027137756,226395966200.98,1750.0,-3.13
BOSCHLTD,0.18115489403214427,326021094023.07,37695.0,2.87
BPCL,0.34610388573577844,622876726991.39,308.2,-1.86
BRITANNIA,0.38421590412650675,691466217755.95,5885.5,1.77
BSE,0.9014034586552119,1622239041992.46,3981.0,3.35
CANBK,0.25393407989725864,457000441418.69,135.93,-1.53
CGPOWER,0.3270735795183629,588628238780.55,860.35,3.79
CHOLAFIN,0.40107394961259346,721805328724.1,1689.2,-1.33
CIPLA,0.42426761962580106,763546545336.08,1361.0,-0.25
COALINDIA,0.5861752687508182,1054928730622.64,465.95,-0.9
COCHINSHIP,0.08516980655046635,153278517026.37,1816.0,3.59
COFORGE,0.23898853801948136,430103227629.39,1284.0,0.28
COLPAL,0.15835613671780796,284990594451.43,2170.0,0.6
CONCOR,0.10085524256890768,181507304541.51,527.25,0.58
COROMANDEL,0.1289006288758857,231980064744.6,1968.0,-2.48
CRISIL,0.05599706787038283,100776881721.71,4145.0,-0.25
CUMMINSIND,0.4053002948441617,729411403644.0,5415.0,1.7
DABUR,0.15278826527063344,274970199748.4,467.0,0.16
DALBHARAT,0.08720984053148345,156949928245.42,1975.0,0.02
DIVISLAB,0.47075570954971635,847210296277.02,6685.5,-0.25
DIXON,0.2532068800517682,455691713379.81,11075.0,-1.98
DLF,0.22002317499900823,395971616482.4,619.0,1.54
DMART,0.358748088492068,645632263559.58,4387.9,-1.0
DRREDDY,0.4411581930690817,793944196263.9,1306.5,-0.34
