Symbol,WeightPct,FFMC,LastPrice,PChange
DBCORP,2.6973372101035764,10641998799.61,231.89,2.77
HATHWAY,1.2461347635296203,4916465248.75,11.11,-0.09
NAZARA,15.76301360889084,62190953090.96,274.5,0.99
NETWORK18,5.777371560501067,22793880194.68,34.98,0.63
PFOCUS,5.185572244707873,20459011723.4,308.5,2.8
PVRINOX,19.238408745362122,75902679875.42,1067.1,-0.17
SAREGAMA,6.468551582438469,25520842524.87,350.0,-0.27
SUNTV,14.2578833392106,56252654214.87,571.0,0.04
TIPSMUSIC,7.453995485344059,29408785342.15,644.95,-1.19
ZEEL,21.91173145991178,86449932555.82,94.42,-0.12
