Symbol,WeightPct,FFMC,LastPrice,PChange
ADANIENT,8.369188414069297,720135535704.5,2520.0,-0.8
APLAPOLLO,4.153952288303399,357431152033.75,1970.3,2.9
HINDALCO,17.730904589867556,1525674156634.41,1057.0,1.07
HINDCOPPER,2.161215036196903,185963999238.91,568.25,3.22
HINDZINC,3.199041608660351,275264867824.08,636.75,0.34
JINDALSTEL,5.383115950122996,463195819798.3,1254.2,-0.8
JSL,2.8359957003117766,244026204436.55,765.35,-0.12
JSWSTEEL,13.91252064372748,1197117332180.98,1280.4,0.56
LLOYDSME,2.5260150307623146,217353594802.29,1729.0,-2.01
NATIONALUM,4.195471776130521,361003739616.83,403.7,-0.7
NMDC,3.607075402626399,310374560695.77,90.05,0.98
SAIL,3.138730114812465,270075302506.34,187.34,0.7
TATASTEEL,20.795532368697124,1789373246444.87,217.1,0.76
VEDL,6.017873124385548,517814162117.06,305.6,-3.41
WELCORP,1.9733679513258724,169800501131.17,1299.4,1.14
