Symbol,WeightPct,FFMC,LastPrice,PChange
AARTIDRUGS,0.16565949819712636,13936396028.84,397.25,-0.8
AARTIPHARM,0.4752052896282439,39977479005.63,780.0,-1.07
ACI,0.4247078495075275,35729293229.24,622.85,0.26
ADVENZYMES,0.20466367953001166,17217691238.3,361.7,1.62
AEQUS,0.1968248357557687,16558234748.12,203.7,8.6
AETHER,0.47917946784569687,40311813723.11,1215.0,-1.44
AGARWALEYE,0.4120415316596504,34663717010.09,449.0,-2.02
AHLUCONT,0.30147460009877425,25362079840.5,848.1,-0.53
AKUMS,0.22605218529138388,19017036823.67,548.9,-0.59
ALIVUS,0.4075692295481025,34287476745.78,1117.1,-0.7
ALKYLAMINE,0.2879217708328192,24221924292.42,1756.0,-0.14
ALOKINDS,0.2107456083913032,17729344177.93,14.32,0.07
ANUP,0.3073368369930339,25855250807.83,2188.0,3.12
APLLTD,0.5095462195171389,42866470003.06,772.9,-1.6
APOLLO,0.4954736612077092,41682591337.04,314.1,0.43
ARVIND,0.8324571092398264,70031915330.23,448.0,14.96
ARVINDFASN,0.4685774679487269,39419901874.59,458.5,-4.48
ASHAPURMIN,0.394141687091225,33157861170.4,666.0,0.89
ASHOKA,0.21328248174874898,17942763101.5,140.49,1.79
ASKAUTOLTD,0.26709482226468606,22469820691.5,455.0,-1.1
ASTRAMICRO,1.172441120634672,98633666982.49,1168.8,7.41
ATLANTAELE,0.1755082063129994,14764935884.2,1618.7,4.99
AURIONPRO,0.3357748645898728,28247649789.97,871.5,-1.01
AVALON,0.4528175198159031,38094068578.2,1260.0,9.49
AVANTIFEED,0.6829334200860746,57452972556.54,1451.0,7.61
AVL,0.4505716905246573,37905134247.5,555.35,-0.42
AWFIS,0.21251627871915355,17878304926.9,364.3,-0.03
AXISCADES,0.45513691865319067,38289192076.08,2146.9,-0.44
AZAD,0.7581245009510679,63778554199.46,2251.0,2.58
BAJAJELEC,0.20539442805458386,17279166740.44,415.0,-0.75
BALAMINES,0.20094772021537377,16905079639.21,1534.0,2.79
BALUFORGE,0.2887121697352788,24288417987.29,558.0,-0.18
BANCOINDIA,0.34026828218279936,28625666431.21,641.3,0.9
BBOX,0.42615328163964317,35850892744.18,740.0,2.71
BECTORFOOD,0.37962991123974293,31937032557.8,204.13,0.17
