Symbol,WeightPct,FFMC,LastPrice,PChange
3MINDIA,0.47696993400348486,92260923300.0,32760.0,0.72
ABBOTINDIA,0.7148455999045541,138273527034.63,26625.0,1.24
ABCAPITAL,1.5684411455391296,303385639037.14,368.85,-0.12
AIAENG,0.8034927760915066,155420667220.8,4014.0,2.61
APLAPOLLO,1.8478452946105224,357431152033.75,1970.3,2.9
ASHOKLEY,2.5090122963487134,485321557040.73,170.1,1.37
AUBANK,3.025175699521342,585163724765.35,1037.0,1.27
BANKINDIA,0.879319156434911,170087863960.56,140.36,-1.39
BERGEPAINT,0.7184854490030497,138977587845.51,489.35,2.28
BHARTIHEXA,0.5878055362599676,113700000000.0,1516.0,0.17
BIOCON,1.4066094515967185,272082321075.34,382.3,0.45
BSE,8.38664107317708,1622239041992.46,3981.0,3.35
COFORGE,2.2235449284418336,430103227629.39,1284.0,0.28
COROMANDEL,1.1992890620828636,231980064744.6,1968.0,-2.48
CUMMINSIND,3.7709064316015577,729411403644.0,5415.0,1.7
DALBHARAT,0.811398740002309,156949928245.42,1975.0,0.02
FEDERALBNK,3.7617476657253506,727639811483.18,296.3,1.13
FORTIS,2.541471129424021,491600111924.96,946.0,-1.14
GLENMARK,1.8396375068063526,355843508815.43,2370.0,-0.32
GMRAIRPORT,1.8524231665091935,358316655831.81,100.7,1.48
GVT&D,3.0611626224776165,592124722727.64,4792.1,5.02
HDFCAMC,2.9823033565057355,576870870921.39,2839.0,0.82
HEROMOTOCO,3.5819064282316586,692852883763.62,5352.5,3.53
HINDPETRO,1.9725839050018714,381559505930.75,398.45,-0.19
IDEA,1.598433292966777,309187059663.8,11.23,-0.62
IDFCFIRSTB,2.418661681300534,467844918429.36,70.81,1.75
IGL,0.6147496626555227,118911837899.09,170.0,0.32
INDIANB,1.5667998541071952,303068161871.14,860.0,-0.79
INDUSTOWER,2.6911358656539055,520549959212.23,403.3,-1.22
JKCEMENT,1.2104322512593424,234135506521.19,5611.0,1.62
JSL,1.2615651183844392,244026204436.55,765.35,-0.12
LTF,1.3356220527658649,258351134910.57,303.95,1.22
LUPIN,3.079552477590313,595681896652.23,2462.0,0.78
M&MFIN,1.1153759571347293,215748642200.83,327.0,-0.11
MARICO,2.2699864756407067,439086477345.12,832.0,2.11
MFSL,2.3381811845347102,452277469812.77,1710.0,3.46
MRF,1.3643353675467544,263905189252.01,130395.0,0.05
MUTHOOTFIN,1.9789130977951634,382783770038.87,3579.4,1.3
NAM-INDIA,1.0199192115855344,197284318033.35,1109.7,1.42
NATIONALUM,1.8663148351567675,361003739616.83,403.7,-0.7
NYKAA,1.9014499619497665,367799973524.02,269.7,-0.97
PAYTM,2.5942333924725802,501805986042.43,1196.4,7.73
PERSISTENT,2.798641377441944,541344892121.63,4989.5,-0.49
POLYCAB,2.456859609236363,475233594000.43,9030.0,7.3
POWERINDIA,2.284993536184712,441989312855.5,34850.0,4.4
SBICARD,1.0014924969134913,193720014315.59,648.0,-0.25
SRF,2.077068314983027,401770063133.81,2775.4,2.05
SUNDARMFIN,1.6730814395799474,323626349099.42,4713.0,0.28
UNOMINDA,1.0741634109843277,207776845053.23,1147.0,1.69
UPL,1.8850197188741857,364621849939.85,652.0,-1.21
