Symbol,WeightPct,FFMC,LastPrice,PChange
360ONE,0.7115935980564096,288644816544.38,1113.0,2.67
3MINDIA,0.22745006529836367,92260923300.0,32760.0,0.72
ABBOTINDIA,0.3408845438365741,138273527034.63,26625.0,1.24
ABCAPITAL,0.74793402170064,303385639037.14,368.85,-0.12
ACC,0.2088575153513942,84719198383.99,1416.8,0.2
AIAENG,0.38315724191420714,155420667220.8,4014.0,2.61
AIIL,0.31908501676458123,129430951005.79,490.0,3.3
AJANTPHARM,0.31813935641997143,129047361331.25,3072.0,-0.78
ALKEM,0.7987436607234268,323995631839.88,5552.5,-0.08
ANTHEM,0.1193084624054235,48395276935.13,780.0,1.46
APARINDS,0.5315633996943108,215618887530.11,12800.0,3.36
APLAPOLLO,0.8811719627538758,357431152033.75,1970.3,2.9
APOLLOTYRE,0.3268143630288423,132566217737.46,411.0,-0.4
ASHOKLEY,1.1964590846406322,485321557040.73,170.1,1.37
ASTRAL,0.4748906413888666,192630628545.18,1578.2,0.13
ATGL,0.4397955873646992,178394967265.92,644.9,-0.94
AUBANK,1.4425991269926144,585163724765.35,1037.0,1.27
AUROPHARMA,1.0168559315228762,412468851052.28,1479.7,-0.29
AWL,0.2891638127693347,117293966550.64,211.23,1.65
BAJAJHFL,0.2389873228468073,96940799000.95,87.8,0.95
BALKRISIND,0.4484822205871085,181918539793.44,2271.0,1.82
BANKINDIA,0.41931615661913246,170087863960.56,140.36,-1.39
BDL,0.33377579065029617,135389992437.19,1473.1,5.11
BERGEPAINT,0.3426202589332891,138977587845.51,489.35,2.28
BHARATFORG,1.3086328748268947,530822785800.85,1997.0,6.57
BHARTIHEXA,0.28030363776365924,113700000000.0,1516.0,0.17
BHEL,1.4587617457058257,591719792900.44,406.5,5.32
BIOCON,0.6707622196006837,272082321075.34,382.3,0.45
BLUESTARCO,0.5581320395879784,226395966200.98,1750.0,-3.13
BSE,3.999292038634302,1622239041992.46,3981.0,3.35
COCHINSHIP,0.37787621735717236,153278517026.37,1816.0,3.59
COFORGE,1.0603298093087883,430103227629.39,1284.0,0.28
COLPAL,0.7025848755775159,284990594451.43,2170.0,0.6
CONCOR,0.44746840583695346,181507304541.51,527.25,0.58
COROMANDEL,0.5718984699785452,231980064744.6,1968.0,-2.48
CRISIL,0.2484443847763706,100776881721.71,4145.0,-0.25
DABUR,0.677881682199442,274970199748.4,467.0,0.16
DALBHARAT,0.3869273160416581,156949928245.42,1975.0,0.02
DIXON,1.1234128844249385,455691713379.81,11075.0,-1.98
ENDURANCE,0.22106724064125732,89671848219.48,2550.0,8.32
ESCORTS,0.27236502555981396,110479848400.19,3337.0,0.6
EXIDEIND,0.40841001951303646,165663990625.0,365.15,3.82
FEDERALBNK,1.7938442052805508,727639811483.18,296.3,1.13
FLUOROCHEM,0.39467293936438563,160091797465.6,3808.0,-0.07
FORTIS,1.2119375523094842,491600111924.96,946.0,-1.14
GICRE,0.3027040193548284,122786301580.8,398.2,-0.44
GLAXO,0.25244331446769425,102398973784.2,2482.0,2.42
GLENMARK,0.877257959503516,355843508815.43,2370.0,-0.32
GMRAIRPORT,0.8833549876953865,358316655831.81,100.7,1.48
GODFRYPHLP,0.23457948103606413,95152839280.27,2342.0,1.47
GODREJIND,0.1301751647814122,52803154299.86,1226.85,20.0
GODREJPROP,0.6872419303065248,278767011727.96,1878.5,0.61
GROWW,0.3126271329605535,126811429566.91,208.2,-1.24
GVT&D,1.4597600157463113,592124722727.64,4792.1,5.02
HAVELLS,0.7888973547148465,320001659438.71,1272.3,1.19
HDBFS,0.31334381155480534,127102137018.36,701.95,2.41
HEROMOTOCO,1.7080842898327568,692852883763.62,5352.5,3.53
HEXT,0.16808557620631848,68180813374.86,461.0,0.36
HINDPETRO,0.9406553872972185,381559505930.75,398.45,-0.19
HONAUT,0.16619219910412233,67412799879.79,30715.0,1.77
HUDCO,0.2805183240059832,113787083513.96,227.37,2.23
ICICIAMC,0.2818463330367426,114325765879.99,3284.5,-0.26
ICICIGI,1.1026597021583702,447273567819.75,1848.0,2.11
ICICIPRULI,0.5470978162237277,221920137037.56,564.35,2.59
IDEA,0.7622362143642277,309187059663.8,11.23,-0.62
IDFCFIRSTB,1.1533740769128589,467844918429.36,70.81,1.75
INDIANB,0.7471513479580131,303068161871.14,860.0,-0.79
INDUSINDBK,1.5380965289867852,623900484278.59,950.0,0.34
INDUSTOWER,1.2833073632797933,520549959212.23,403.3,-1.22
IPCALAB,0.5316077448589085,215636875328.11,1557.0,-0.47
IRCTC,0.4226901512408174,171456462640.0,569.95,-0.49
IREDA,0.2652339344466296,107587252834.76,135.61,-0.59
ITCHOTELS,0.45865012348492945,186042962040.35,166.5,-1.53
JKCEMENT,0.5772122621594241,234135506521.19,5611.0,1.62
JSL,0.6015957151558784,244026204436.55,765.35,-0.12
JSWENERGY,0.764603568449489,310147333178.77,577.0,1.6
JSWINFRA,0.22554589687070561,91488532502.82,282.45,3.39
JUBLFOOD,0.4610505206594147,187016638874.93,479.1,1.67
KALYANKJIL,0.3898916776434226,158152366846.68,411.55,-0.99
KEI,0.7787592234966932,315889313524.47,5133.0,-0.3
KPITTECH,0.29175677674929157,118345754557.65,724.0,-3.29
KPRMILL,0.2682364133872494,108805153031.39,981.0,2.69
LAURUSLABS,1.1516347447165918,467139390408.77,1204.0,2.24
LENSKART,0.35438049341003036,143747910024.25,492.4,-2.16
LGEINDIA,0.32910163185495506,133494006144.36,1542.0,-1.65
LICHSGFIN,0.43495426449364094,176431173949.39,588.5,1.09
LICI,0.442159029733017,179353654065.07,810.25,0.37
LINDEINDIA,0.4060493341136987,164706422139.46,7850.0,3.64
LLOYDSME,0.5358399586991229,217353594802.29,1729.0,-2.01
LTF,0.6369108437625566,258351134910.57,303.95,1.22
LTTS,0.2571866841300823,104323034188.54,3795.0,-0.26
LUPIN,1.4685294862055953,595681896652.23,2462.0,0.78
M&MFIN,0.5318832827745188,215748642200.83,327.0,-0.11
MAHABANK,0.42849130343032965,173809593013.94,85.6,2.36
MANKIND,0.6614031056379647,268285969140.52,2377.7,0.71
MARICO,1.0824761380181855,439086477345.12,832.0,2.11
MCX,1.9160720753335927,777219292277.32,3055.0,2.75
MEDANTA,0.252748470558149,102522754723.19,1214.1,2.75
MFSL,1.1149957789539404,452277469812.77,1710.0,3.46
MOTILALOFS,0.340711647872988,138203394976.35,890.0,0.94
MPHASIS,0.721240046962165,292557720598.48,2217.0,-0.07
MRF,0.6506032064383936,263905189252.01,130395.0,0.05
NAM-INDIA,0.4863633422908592,197284318033.35,1109.7,1.42
NATIONALUM,0.889979432373635,361003739616.83,403.7,-0.7
NAUKRI,0.9244085110272011,374969260272.01,984.05,0.27
NHPC,0.6349277004549015,257546709410.14,81.64,-2.41
NIACL,0.09761689784371048,39596493907.04,164.99,0.59
NLCINDIA,0.2640123964485394,107091758479.1,329.2,2.14
NMDC,0.7651637505041512,310374560695.77,90.05,0.98
NTPCGREEN,0.2484641248189377,100784888905.84,108.8,0.56
NYKAA,0.9067341297111731,367799973524.02,269.7,-0.97
OBEROIRLTY,0.48333216104366733,196054775275.52,1670.3,-0.19
OFSS,0.5566071945255849,225777440929.68,9500.0,0.8
OIL,0.607409835588409,246384595139.05,453.0,0.61
PAGEIND,0.5777612821178875,234358206339.77,37255.0,-0.76
PATANJALI,0.3919718556632283,158996152688.13,460.5,0.1
PAYTM,1.2370980065019628,501805986042.43,1196.4,7.73
PERSISTENT,1.3345729335661265,541344892121.63,4989.5,-0.49
PETRONET,0.518784760701469,210435468345.55,281.6,-0.6
PHOENIXLTD,0.8373816304826432,339668411532.19,1825.2,-0.76
PIIND,0.6171568023334987,250338272400.46,3099.0,0.91
POLICYBZR,1.4105334361948172,572156868797.31,1684.0,-1.05
POLYCAB,1.171589315618456,475233594000.43,9030.0,7.3
POWERINDIA,1.0896324735800944,441989312855.5,34850.0,4.4
PREMIERENE,0.2908977277305969,117997297169.78,1014.8,-1.76
PRESTIGE,0.6169773828276288,250265494187.59,1487.8,2.24
RADICO,0.6572113811478607,266585673424.32,3414.9,1.72
RVNL,0.4312183474902969,174915768132.08,309.0,1.28
SAIL,0.6658143338843256,270075302506.34,187.34,0.7
SBICARD,0.47757629481343905,193720014315.59,648.0,-0.25
SCHAEFFLER,0.4189565269077854,169941986802.11,4234.8,0.98
