Symbol,WeightPct,FFMC,LastPrice,PChange
ASHOKLEY,3.66869492653539,485321557040.73,170.1,1.37
AUBANK,4.423432582161242,585163724765.35,1037.0,1.27
AUROPHARMA,3.117978913684203,412468851052.28,1479.7,-0.29
BHARATFORG,4.012652710156712,530822785800.85,1997.0,6.57
BHEL,4.472991917732248,591719792900.44,406.5,5.32
BSE,12.26300389225426,1622239041992.46,3981.0,3.35
DIXON,3.444713824653836,455691713379.81,11075.0,-1.98
FORTIS,3.7161564540846714,491600111924.96,946.0,-1.14
HEROMOTOCO,5.237488058429031,692852883763.62,5352.5,3.53
HINDPETRO,2.8843256667084627,381559505930.75,398.45,-0.19
INDIANB,2.290985454325792,303068161871.14,860.0,-0.79
INDUSINDBK,4.71625566210681,623900484278.59,950.0,0.34
INDUSTOWER,3.9349972542221936,520549959212.23,403.3,-1.22
LICI,1.3557894372882442,179353654065.07,810.25,0.37
LUPIN,4.502942678669453,595681896652.23,2462.0,0.78
MARICO,3.319189737972318,439086477345.12,832.0,2.11
NAUKRI,2.8345079727237454,374969260272.01,984.05,0.27
PAYTM,3.793305795696296,501805986042.43,1196.4,7.73
PERSISTENT,4.0921925482609405,541344892121.63,4989.5,-0.49
POLICYBZR,4.325109757205581,572156868797.31,1684.0,-1.05
POLYCAB,3.592436911023585,475233594000.43,9030.0,7.3
SRF,3.0371034850387058,401770063133.81,2775.4,2.05
SUZLON,5.093136126566634,673756963896.7,55.66,2.47
SWIGGY,2.8947142001556316,382933776435.36,279.85,0.0
YESBANK,2.9758940323440086,393672833060.92,22.48,1.58
