Symbol,WeightPct,FFMC,LastPrice,PChange
360ONE,1.2112208458451355,288644816544.38,1113.0,2.67
ABSLAMC,0.3329013632030576,79333387663.15,1092.0,2.37
AFFLE,0.39380762000313185,93847896211.09,1484.0,3.47
ALKEM,1.3595610963860536,323995631839.88,5552.5,-0.08
ANANDRATHI,0.6451589108477257,153747168489.06,3615.8,-0.07
ANGELONE,0.8742175669881299,208333905504.32,322.0,1.63
APARINDS,0.904787047489739,215618887530.11,12800.0,3.36
APLAPOLLO,1.4998643228057273,357431152033.75,1970.3,2.9
ASTRAZEN,0.2212107658254579,52716514200.0,8572.0,2.26
AUBANK,2.4554832134295506,585163724765.35,1037.0,1.27
AUROPHARMA,1.730815320494419,412468851052.28,1479.7,-0.29
BDL,0.5681279266399931,135389992437.19,1473.1,5.11
BLS,0.14856465323592644,35404292475.12,292.75,2.11
BLUESTARCO,0.9500101784634553,226395966200.98,1750.0,-3.13
BSE,6.807292672456504,1622239041992.46,3981.0,3.35
CAMS,0.8400966148611959,200202575862.18,835.0,2.35
CANFINHOME,0.31242751579243044,74454285763.55,886.05,-1.91
CASTROLIND,0.3752642550813697,89428845643.79,185.7,-0.19
CDSL,0.9466872669329482,225604086510.0,1270.0,-1.0
CEATLTD,0.2948215015721229,70258614295.27,3364.9,0.23
CHOICEIN,0.22830434672347794,54406978299.9,689.0,0.55
COCHINSHIP,0.6431923402096603,153278517026.37,1816.0,3.59
COFORGE,1.8048132698405654,430103227629.39,1284.0,0.28
COLPAL,1.1958868792514608,284990594451.43,2170.0,0.6
COROMANDEL,0.9734423559134392,231980064744.6,1968.0,-2.48
CREDITACC,0.33630354266707047,80144157615.31,1485.0,0.91
CUB,0.8187465587488545,195114665551.77,271.0,-0.73
CUMMINSIND,3.0607800544200514,729411403644.0,5415.0,1.7
DATAPATTNS,0.5246939945227963,125039295938.88,4235.0,1.52
DIXON,1.9121885129700558,455691713379.81,11075.0,-1.98
ECLERX,0.27511898053874956,65563326405.66,1605.0,1.49
ESCORTS,0.46359916325587625,110479848400.19,3337.0,0.6
FEDERALBNK,3.0533460412920483,727639811483.18,296.3,1.13
FORCEMOT,0.4169031952841794,99351779431.77,20696.0,2.59
GESHIP,0.6467971434900999,154137574055.59,1559.7,-0.98
GILLETTE,0.2705686352789715,64478938222.26,7950.0,0.63
GLENMARK,1.4932022022632017,355843508815.43,2370.0,-0.32
GMDCLTD,0.2439139890704102,58126896403.2,704.4,0.66
GODFRYPHLP,0.39928346490814143,95152839280.27,2342.0,1.47
GPIL,0.3127449950829629,74529943932.65,304.7,0.03
GRSE,0.3794926617220367,90436512960.0,3096.0,2.48
GVT&D,2.484693181378221,592124722727.64,4792.1,5.02
HBLENGINE,0.4007769359978878,95508746867.39,849.95,-0.55
HDFCAMC,2.420684468149443,576870870921.39,2839.0,0.82
HEROMOTOCO,2.9073719942910667,692852883763.62,5352.5,3.53
HINDCOPPER,0.7803482326531398,185963999238.91,568.25,3.22
HOMEFIRST,0.4611725142486715,109901556125.99,1215.0,-0.95
HSCL,0.6057377022333024,144352740076.19,616.6,-2.92
IEX,0.4449808421236767,106042935094.08,133.8,3.08
IGL,0.4989817541344645,118911837899.09,170.0,0.32
INDIAMART,0.26770357028803765,63796167477.74,2091.2,1.67
INDIANB,1.2717445605466213,303068161871.14,860.0,-0.79
INDUSTOWER,2.184348811282903,520549959212.23,403.3,-1.22
INTELLECT,0.2888109488608571,68826245548.79,790.0,0.71
JSWDULUX,0.21396036813002486,50988679247.48,2964.5,-1.06
KEI,1.3255450976086385,315889313524.47,5133.0,-0.3
KIRLOSBROS,0.18631970105172938,44401659790.75,1760.0,0.87
KPITTECH,0.4966063366513226,118345754557.65,724.0,-3.29
KPRMILL,0.45657175162446384,108805153031.39,981.0,2.69
LALPATHLAB,0.5039274860415781,120090450275.11,1546.1,-2.53
LATENTVIEW,0.09412047990976856,22429756513.7,310.9,2.3
LTF,1.0841015054338206,258351134910.57,303.95,1.22
LTFOODS,0.24860913348958028,59245791528.04,432.0,0.75
LTTS,0.43776373753639347,104323034188.54,3795.0,-0.26
LUPIN,2.4996199112649418,595681896652.23,2462.0,0.78
MAHABANK,0.7293455146248047,173809593013.94,85.6,2.36
MANAPPURAM,0.7281528447203353,173525369053.5,317.05,2.29
MARICO,1.842509076920654,439086477345.12,832.0,2.11
MCX,3.2613930846547956,777219292277.32,3055.0,2.75
MGL,0.28242033101848846,67303303864.75,1185.0,1.56
MOTILALOFS,0.5799336186457605,138203394976.35,890.0,0.94
