Symbol,WeightPct,FFMC,LastPrice,PChange
360ONE,0.47098724631496386,288644816544.38,1113.0,2.67
3MINDIA,0.15054390627126316,92260923300.0,32760.0,0.72
AADHARHFC,0.08731671890519248,53512103579.96,501.0,0.18
AARTIIND,0.16354012344812174,100225662795.89,489.0,-1.78
AAVAS,0.09194786966948795,56350307105.02,1418.0,-1.21
ABBOTINDIA,0.22562354840099794,138273527034.63,26625.0,1.24
ABCAPITAL,0.49504012721336466,303385639037.14,368.85,-0.12
ABDL,0.04982880686178923,30537614187.6,572.0,4.99
ABFRL,0.05348347955720352,32777382542.16,67.51,1.96
ABLBL,0.10427247479262301,63903448750.75,118.55,10.18
ABREL,0.1350522180060575,82766832850.08,1586.0,2.34
ABSLAMC,0.12944980008175397,79333387663.15,1092.0,2.37
ACC,0.13823793004351972,84719198383.99,1416.8,0.2
ACE,0.06074216353676018,37225871374.98,907.0,2.19
ACMESOLAR,0.04909374685020528,30087132218.39,299.2,0.93
ACUTAAS,0.23079503334886942,141442874688.35,2735.0,1.83
AEGISLOG,0.15108050399988643,92589777540.0,740.0,0.67
AEGISVOPAK,0.05071671180100228,31081767262.43,216.0,7.43
AFCONS,0.08463738739151284,51870073653.93,337.0,0.21
AFFLE,0.15313340020473828,93847896211.09,1484.0,3.47
AIAENG,0.25360286372405394,155420667220.8,4014.0,2.61
AIIL,0.21119494862909205,129430951005.79,490.0,3.3
AJANTPHARM,0.2105690380491296,129047361331.25,3072.0,-0.78
ALKEM,0.5286698451239277,323995631839.88,5552.5,-0.08
AMBER,0.3127858025657067,191690966805.69,8820.0,1.83
ANANDRATHI,0.2508721839605647,153747168489.06,3615.8,-0.07
ANANTRAJ,0.1381716852784281,84678600239.95,556.5,-0.03
ANGELONE,0.3399424027156744,208333905504.32,322.0,1.63
ANTHEM,0.07896749538484223,48395276935.13,780.0,1.46
ANURAS,0.06039656498563719,37014071095.53,1370.0,0.71
APARINDS,0.35182944667807053,215618887530.11,12800.0,3.36
APLAPOLLO,0.5832272204260335,357431152033.75,1970.3,2.9
APOLLOTYRE,0.2163108230871568,132566217737.46,411.0,-0.4
APTUS,0.15962374021184578,97825504979.31,276.95,3.57
ARE&M,0.17969011799275839,110123196644.21,902.0,2.38
ASAHIINDIA,0.1661042066075397,101797062698.85,842.2,0.1
ASHOKLEY,0.7919084307989268,485321557040.73,170.1,1.37
ASTERDM,0.3056838286430775,187338517825.3,742.0,1.5
ASTRAL,0.3143190665281374,192630628545.18,1578.2,0.13
ATGL,0.29109046680595835,178394967265.92,644.9,-0.94
ATHERENERG,0.28359538702932496,173801603127.0,911.5,1.55
ATUL,0.1813899558582791,111164943300.17,7005.0,-1.45
AUBANK,0.9548227980330442,585163724765.35,1037.0,1.27
AUROPHARMA,0.6730332824734483,412468851052.28,1479.7,-0.29
AWL,0.19139079986406576,117293966550.64,211.23,1.65
BAJAJHFL,0.1581801486118487,96940799000.95,87.8,0.95
BALKRISIND,0.2968399472289769,181918539793.44,2271.0,1.82
BALRAMCHIN,0.09792136088296217,60011164779.9,524.1,-0.14
BANDHANBNK,0.3018388863840361,184982142654.49,208.15,-0.35
BANKINDIA,0.27753560807859273,170087863960.56,140.36,-1.39
BATAINDIA,0.07565486529035745,46365129593.81,728.5,0.49
BAYERCROP,0.1077432015869461,66030485749.44,4658.7,0.17
BBTC,0.044038481914614444,26989010068.94,1568.0,0.93
BDL,0.22091843006226838,135389992437.19,1473.1,5.11
BELRISE,0.11104994920372846,68057028010.77,228.0,2.65
BEML,0.12537895944893754,76838570538.41,2015.0,6.17
BERGEPAINT,0.22677237783962972,138977587845.51,489.35,2.28
BHARATFORG,0.8661536526402175,530822785800.85,1997.0,6.57
BHARTIHEXA,0.18552645617240013,113700000000.0,1516.0,0.17
BHEL,0.965520459312974,591719792900.44,406.5,5.32
BIKAJI,0.07206096755369139,44162607209.19,675.95,-0.99
BIOCON,0.44396190691529436,272082321075.34,382.3,0.45
BLS,0.05776985854177825,35404292475.12,292.75,2.11
BLUEDART,0.054618636439051294,33473064118.41,5675.0,0.5
BLUEJET,0.02814260488903407,17247212294.67,492.5,0.62
BLUESTARCO,0.3694146112664406,226395966200.98,1750.0,-3.13
