Symbol,WeightPct,FFMC,LastPrice,PChange
ABBOTINDIA,2.31780677261954,138273527034.63,26625.0,1.24
AJANTPHARM,2.1631533851547893,129047361331.25,3072.0,-0.78
ALKEM,5.43096922370069,323995631839.88,5552.5,-0.08
ASTERDM,3.1402575366377943,187338517825.3,742.0,1.5
AUROPHARMA,6.913999497706766,412468851052.28,1479.7,-0.29
BIOCON,4.560773562538312,272082321075.34,382.3,0.45
COHANCE,1.3215124614535956,78837542121.29,485.9,0.97
FORTIS,8.240435412881526,491600111924.96,946.0,-1.14
GLAND,2.4889934989116873,148486023048.34,1871.0,3.28
GLAXO,1.7164604102914685,102398973784.2,2482.0,2.42
GLENMARK,5.96481851886618,355843508815.43,2370.0,-0.32
GRANULES,1.8023143796979657,107520768793.17,743.0,0.95
IPCALAB,3.614608094410109,215636875328.11,1557.0,-0.47
JBCHEPHARM,2.936564211626151,175186773851.0,2146.1,0.21
KIMS,2.9187518640420906,174124141644.42,707.0,0.96
LALPATHLAB,2.0130133724358483,120090450275.11,1546.1,-2.53
LAURUSLABS,7.8304131388479234,467139390408.77,1204.0,2.24
LUPIN,9.985103902365976,595681896652.23,2462.0,0.78
MANKIND,4.497137301755225,268285969140.52,2377.7,0.71
MEDANTA,1.7185352853949318,102522754723.19,1214.1,2.75
NATCOPHARM,1.7327025732508265,103367933399.64,1155.5,0.47
NEULANDLAB,2.471893088108735,147465862893.75,17151.0,0.7
NH,2.136681051389572,127468099849.32,1850.0,0.52
ONESOURCE,1.6745247491575954,99897215724.81,1814.5,4.07
PFIZER,1.2040099726779656,71827689639.07,4755.0,-0.59
POLYMED,1.0707066100162417,63875203548.1,1677.0,1.29
PPLPHARMA,1.9016954524635605,113449550956.6,183.6,11.14
SAILIFE,2.5012189620451193,149215358179.75,1087.4,0.76
SYNGENE,1.477440977415944,88139778236.09,465.8,3.49
WOCKPHARMA,2.253504732135871,134437456643.33,1632.0,-4.94
