Symbol,WeightPct,FFMC,LastPrice,PChange
ABBOTINDIA,1.559842260466457,138273527034.63,26625.0,1.24
ALKEM,3.6549445840331076,323995631839.88,5552.5,-0.08
BLUESTARCO,2.5539378596380304,226395966200.98,1750.0,-3.13
COLPAL,3.2149347933351313,284990594451.43,2170.0,0.6
CROMPTON,2.1029227138947832,186415349872.95,291.0,2.45
DABUR,3.1018962713595846,274970199748.4,467.0,0.16
DIXON,5.140587699742244,455691713379.81,11075.0,-1.98
FORTIS,5.54566478685791,491600111924.96,946.0,-1.14
GODREJPROP,3.144727519739325,278767011727.96,1878.5,0.61
HAVELLS,3.6098891994480207,320001659438.71,1272.3,1.19
HEROMOTOCO,7.815966161837193,692852883763.62,5352.5,3.53
IDEA,3.4878913729608807,309187059663.8,11.23,-0.62
IRCTC,1.9341738219274596,171456462640.0,569.95,-0.49
ITCHOTELS,2.0987218643827323,186042962040.35,166.5,-1.53
JUBLFOOD,2.109705762075851,187016638874.93,479.1,1.67
KALYANKJIL,1.784092376109438,158152366846.68,411.55,-0.99
MANKIND,3.0264925002656176,268285969140.52,2377.7,0.71
MARICO,4.9532666017171465,439086477345.12,832.0,2.11
NAUKRI,4.229970198139544,374969260272.01,984.05,0.27
NYKAA,4.149094583792076,367799973524.02,269.7,-0.97
OBEROIRLTY,2.211663580147344,196054775275.52,1670.3,-0.19
PAGEIND,2.643758658476527,234358206339.77,37255.0,-0.76
PATANJALI,1.7936109936098608,158996152688.13,460.5,0.1
PHOENIXLTD,3.8317467863586687,339668411532.19,1825.2,-0.76
PRESTIGE,2.823206311013949,250265494187.59,1487.8,2.24
RADICO,3.007311727414177,266585673424.32,3414.9,1.72
SWIGGY,4.319816672458884,382933776435.36,279.85,0.0
TORNTPOWER,3.658679564750379,324326722341.96,1711.0,-1.33
VMM,2.9980770475370537,265767057471.92,125.11,0.73
VOLTAS,3.4934057265106495,309675884164.82,1363.0,-1.2
