Symbol,WeightPct,FFMC,LastPrice,PChange
AFFLE,2.4926175040617133,93847896211.09,1484.0,3.47
BHARTIHEXA,3.019893057318489,113700000000.0,1516.0,0.17
COFORGE,11.423621381251262,430103227629.39,1284.0,0.28
CYIENT,2.0067928418149967,75556432556.91,894.7,-0.67
HEXT,1.810895030369985,68180813374.86,461.0,0.36
HFCL,3.986813032455393,150104865697.69,147.0,3.92
IDEA,8.212065566327414,309187059663.8,11.23,-0.62
INDUSTOWER,13.82590332288862,520549959212.23,403.3,-1.22
INTELLECT,1.8280378284440495,68826245548.79,790.0,0.71
KPITTECH,3.143285158766624,118345754557.65,724.0,-3.29
LTTS,2.77083910874557,104323034188.54,3795.0,-0.26
MPHASIS,7.77038724098744,292557720598.48,2217.0,-0.07
OFSS,5.996690645230219,225777440929.68,9500.0,0.8
PERSISTENT,14.378220592198213,541344892121.63,4989.5,-0.49
SAGILITY,2.6242930918685246,98805526845.51,43.03,2.82
SONATSOFTW,1.3975447998489836,52618036707.54,271.0,0.44
TATACOMM,4.970770962540832,187151216190.0,1598.0,0.44
TATAELXSI,3.911380610294158,147264809365.58,4291.3,0.23
TATATECH,2.8612263718490274,107726145364.93,628.9,0.19
ZENSARTECH,1.5687218527384934,59062910927.96,520.0,-0.95
