Symbol,WeightPct,FFMC,LastPrice,PChange
ABB,1.339934402700173,375958628539.39,7188.0,0.08
ADANIENSOL,1.7113386233017909,480167178696.58,1388.0,-1.37
ADANIGREEN,1.6302662822854994,457419911308.31,1368.2,1.12
ADANIPOWER,3.3854333701683723,949884475161.72,230.3,0.52
AMBUJACEM,0.9793859701351094,274795994043.23,451.85,1.11
BAJAJHLDNG,1.6311480066812365,457667305429.92,10601.0,-0.1
BANKBARODA,1.77994488286675,499416714497.2,269.95,-0.13
BOSCHLTD,1.1619546586405578,326021094023.07,37695.0,2.87
BPCL,2.2199622293004575,622876726991.39,308.2,-1.86
BRITANNIA,2.4644184310271604,691466217755.95,5885.5,1.77
CANBK,1.6287712716823852,457000441418.69,135.93,-1.53
CGPOWER,2.0978989911924173,588628238780.55,860.35,3.79
CHOLAFIN,2.572548463024293,721805328724.1,1689.2,-1.33
CUMMINSIND,2.5996568751766724,729411403644.0,5415.0,1.7
DIVISLAB,3.0194977216341434,847210296277.02,6685.5,-0.25
DLF,1.41126164194946,395971616482.4,619.0,1.54
DMART,2.301064042066606,645632263559.58,4387.9,-1.0
ENRIN,0.9891844725344199,277545256631.28,3147.0,-1.22
GAIL,1.605971068845841,450603163334.35,167.52,1.11
GODREJCP,1.4818484447417852,415776852856.14,1036.5,-5.26
HAL,3.2332359143468254,907180931881.88,4795.0,3.63
HDFCAMC,2.055995173900353,576870870921.39,2839.0,0.82
HINDZINC,0.9810570585522732,275264867824.08,636.75,0.34
HYUNDAI,0.9331579328120997,261825337064.05,1841.4,0.08
INDHOTEL,2.081924385134145,584146085793.79,667.1,0.14
IOC,1.9510750110752841,547432384647.47,146.93,-0.86
IRFC,0.7635106556108497,214225725065.51,106.8,0.06
JINDALSTEL,1.6508518943850359,463195819798.3,1254.2,-0.8
LODHA,0.9674433090580773,271445123679.29,966.7,1.85
LTM,1.4015291339762104,393240870602.23,4250.0,-1.53
MAZDOCK,0.7257775116092215,203638564200.96,2688.0,1.64
MOTHERSON,2.0605502919349847,578148945374.65,131.0,2.82
MUTHOOTFIN,1.3642595310633105,382783770038.87,3579.4,1.3
PFC,2.365256905909911,663643489335.94,457.05,-1.48
PIDILITIND,1.6105408702981827,451885357659.13,1461.1,2.79
PNB,1.3367256130735998,375058306743.9,109.08,-1.0
RECLTD,1.5974279496236448,448206136002.45,359.85,0.21
SHREECEM,1.2192654524757338,342101349450.02,25650.0,2.7
SIEMENS,1.2141701990856801,340671723885.72,3865.3,0.61
SOLARINDS,1.3791676006017484,386966674341.16,15930.0,1.21
TATACAP,0.49986820432067886,140252958777.79,325.6,-0.88
TATAPOWER,2.616431774434878,734118102797.55,439.75,-0.79
TMCV,3.225901664729934,905123089033.92,434.3,1.06
TORNTPHARM,1.6177971888138034,453921334608.36,4352.0,-0.14
TVSMOTOR,15.470788731872334,4340791983798.97,3707.1,2.47
UNIONBANK,1.1492211455519552,322448326499.8,167.34,-0.84
UNITDSPR,1.3458185625152574,377609605370.59,1282.0,-0.64
VBL,2.488119275810892,698116197846.14,511.5,0.5
VEDL,1.8455142596981742,517814162117.06,305.6,-3.41
ZYDUSLIFE,0.8361269477697889,234600395314.05,940.45,0.18
