Symbol,WeightPct,FFMC,LastPrice,PChange
ASIANPAINT,4.269834359275683,1143428116341.34,2536.0,0.67
BHARTIARTL,20.912335174219564,5600159164163.2,1829.6,-0.22
BRITANNIA,2.5821004159839838,691466217755.95,5885.5,1.77
COLPAL,1.0642231154440633,284990594451.43,2170.0,0.6
DABUR,1.0268045624235174,274970199748.4,467.0,0.16
DIXON,1.701661964769698,455691713379.81,11075.0,-1.98
DMART,2.410945456916398,645632263559.58,4387.9,-1.0
ETERNAL,6.909752173369493,1850377379351.46,257.6,0.61
GODREJCP,1.5526103186942175,415776852856.14,1036.5,-5.26
HAVELLS,1.1949628148629077,320001659438.71,1272.3,1.19
HINDUNILVR,7.5111713899997365,2011432723456.11,2273.0,-1.9
INDHOTEL,2.1813413474032037,584146085793.79,667.1,0.14
INDIGO,3.807944209669003,1019737560857.83,4520.0,0.0
IRCTC,0.6402594835979994,171456462640.0,569.95,-0.49
ITC,11.038509608999112,2956026203221.32,307.55,-1.01
JUBLFOOD,0.6983649072575794,187016638874.93,479.1,1.67
MARICO,1.6396540375974433,439086477345.12,832.0,2.11
NAUKRI,1.4002249973566874,374969260272.01,984.05,0.27
NESTLEIND,3.9394279176686724,1054947865501.39,1475.5,-0.71
NYKAA,1.3734531640856842,367799973524.02,269.7,-0.97
PAGEIND,0.8751496552399334,234358206339.77,37255.0,-0.76
SWIGGY,1.4299664076677194,382933776435.36,279.85,0.0
TATACOMM,0.6988674511741166,187151216190.0,1598.0,0.44
TATACONSUM,2.80390250498848,750863075687.93,1156.4,0.36
TITAN,6.621172300499192,1773097955213.31,4309.0,-1.16
TRENT,3.549500825529867,950528451781.94,4296.0,0.14
UNITDSPR,1.4100846781369147,377609605370.59,1282.0,-0.64
VBL,2.6069330338563224,698116197846.14,511.5,0.5
VMM,0.9924378256397892,265767057471.92,125.11,0.73
VOLTAS,1.1564038976730024,309675884164.82,1363.0,-1.2
