Symbol,WeightPct,FFMC,LastPrice,PChange
AEGISLOG,0.6655886295546243,92589777540.0,740.0,0.67
ATGL,1.2824057356728125,178394967265.92,644.9,-0.94
BPCL,4.477596535109562,622876726991.39,308.2,-1.86
CASTROLIND,0.6428660311770116,89428845643.79,185.7,-0.19
CHENNPETRO,0.37196978213254567,51744572923.82,1078.9,0.6
GAIL,3.2391949729776672,450603163334.35,167.52,1.11
GSPL,0.6180259717744971,85973354561.11,300.2,1.28
HINDPETRO,2.742869411650467,381559505930.75,398.45,-0.19
IGL,0.8548067543513069,118911837899.09,170.0,0.32
IOC,3.9352591652347266,547432384647.47,146.93,-0.86
MGL,0.48381489808078215,67303303864.75,1185.0,1.56
OIL,1.7711543258771203,246384595139.05,453.0,0.61
ONGC,7.89719799856147,1098576167632.88,283.6,1.0
PETRONET,1.5127313047630002,210435468345.55,281.6,-0.6
RELIANCE,69.50451848308239,9668746758308.72,1435.5,-0.17
